cell_id	technology	k	coverage	seed	min_identity	asm_contigs_ge_min	asm_max_contig	genome_fraction	NGA50	NA50	largest_alignment	unaligned_length	misassemblies
Lambda__ont__k15__10x__seed42	ont	15	10	42	80.5	2	4481	NA	NA	NA	NA	8962.0	NA
Lambda__ont__k15__10x__seed42	ont	15	10	42	85.0	2	4481	NA	NA	NA	NA	8962.0	NA
Lambda__ont__k15__10x__seed42	ont	15	10	42	90.0	2	4481	NA	NA	NA	NA	8962.0	NA
Lambda__ont__k15__10x__seed42	ont	15	10	42	95.0	2	4481	NA	NA	NA	NA	8962.0	NA
Lambda__ont__k15__10x__seed123	ont	15	10	123	80.5	11	7043	NA	NA	NA	NA	32197.0	NA
Lambda__ont__k15__10x__seed123	ont	15	10	123	85.0	11	7043	NA	NA	NA	NA	32197.0	NA
Lambda__ont__k15__10x__seed123	ont	15	10	123	90.0	11	7043	NA	NA	NA	NA	32197.0	NA
Lambda__ont__k15__10x__seed123	ont	15	10	123	95.0	11	7043	NA	NA	NA	NA	32197.0	NA
Lambda__ont__k15__30x__seed123	ont	15	30	123	80.5	73	4283	36.601	NA	NA	1303.0	74533.0	0.0
Lambda__ont__k15__30x__seed123	ont	15	30	123	85.0	73	4283	36.601	NA	NA	1303.0	74533.0	0.0
Lambda__ont__k15__30x__seed123	ont	15	30	123	90.0	73	4283	36.601	NA	NA	1303.0	74533.0	0.0
Lambda__ont__k15__30x__seed123	ont	15	30	123	95.0	73	4283	36.601	NA	NA	1303.0	74533.0	0.0
Lambda__ont__k21__10x__seed42	ont	21	10	42	80.5	2	4682	NA	NA	NA	NA	9364.0	NA
Lambda__ont__k21__10x__seed42	ont	21	10	42	85.0	2	4682	NA	NA	NA	NA	9364.0	NA
Lambda__ont__k21__10x__seed42	ont	21	10	42	90.0	2	4682	NA	NA	NA	NA	9364.0	NA
Lambda__ont__k21__10x__seed42	ont	21	10	42	95.0	2	4682	NA	NA	NA	NA	9364.0	NA
Lambda__ont__k21__10x__seed123	ont	21	10	123	80.5	2	16434	NA	NA	NA	NA	32868.0	NA
Lambda__ont__k21__10x__seed123	ont	21	10	123	85.0	2	16434	NA	NA	NA	NA	32868.0	NA
Lambda__ont__k21__10x__seed123	ont	21	10	123	90.0	2	16434	NA	NA	NA	NA	32868.0	NA
Lambda__ont__k21__10x__seed123	ont	21	10	123	95.0	2	16434	NA	NA	NA	NA	32868.0	NA
Lambda__ont__k21__30x__seed42	ont	21	30	42	80.5	24	4682	31.663	NA	584.0	1164.0	9364.0	0.0
Lambda__ont__k21__30x__seed42	ont	21	30	42	85.0	24	4682	31.663	NA	584.0	1164.0	9364.0	0.0
Lambda__ont__k21__30x__seed42	ont	21	30	42	90.0	24	4682	31.663	NA	584.0	1164.0	9364.0	0.0
Lambda__ont__k21__30x__seed42	ont	21	30	42	95.0	24	4682	31.663	NA	584.0	1164.0	9364.0	0.0
Lambda__ont__k21__30x__seed123	ont	21	30	123	80.5	25	21914	24.323	NA	NA	1094.0	82022.0	0.0
Lambda__ont__k21__30x__seed123	ont	21	30	123	85.0	25	21914	24.323	NA	NA	1094.0	82022.0	0.0
Lambda__ont__k21__30x__seed123	ont	21	30	123	90.0	25	21914	24.323	NA	NA	1094.0	82022.0	0.0
Lambda__ont__k21__30x__seed123	ont	21	30	123	95.0	25	21914	24.323	NA	NA	1094.0	82022.0	0.0
Lambda__ont__k21__30x__seed456	ont	21	30	456	80.5	32	1576	39.444	NA	682.0	1576.0	0.0	0.0
Lambda__ont__k21__30x__seed456	ont	21	30	456	85.0	32	1576	39.444	NA	682.0	1576.0	0.0	0.0
Lambda__ont__k21__30x__seed456	ont	21	30	456	90.0	32	1576	39.444	NA	682.0	1576.0	0.0	0.0
Lambda__ont__k21__30x__seed456	ont	21	30	456	95.0	32	1576	39.444	NA	682.0	1576.0	0.0	0.0
Lambda__ont__k31__10x__seed42	ont	31	10	42	80.5	26	4682	17.851	NA	534.0	762.0	9364.0	0.0
Lambda__ont__k31__10x__seed42	ont	31	10	42	85.0	26	4682	17.851	NA	534.0	762.0	9364.0	0.0
Lambda__ont__k31__10x__seed42	ont	31	10	42	90.0	26	4682	13.655	NA	NA	762.0	13353.0	0.0
Lambda__ont__k31__10x__seed42	ont	31	10	42	95.0	26	4682	NA	NA	NA	NA	24535.0	NA
Lambda__ont__k31__10x__seed123	ont	31	10	123	80.5	31	16434	20.838	NA	NA	1178.0	32868.0	0.0
Lambda__ont__k31__10x__seed123	ont	31	10	123	85.0	31	16434	20.838	NA	NA	1178.0	32868.0	0.0
Lambda__ont__k31__10x__seed123	ont	31	10	123	90.0	31	16434	18.746	NA	NA	1178.0	33915.0	0.0
Lambda__ont__k31__10x__seed123	ont	31	10	123	95.0	31	16434	NA	NA	NA	NA	51116.0	NA
Lambda__ont__k31__10x__seed456	ont	31	10	456	80.5	34	915	22.092	NA	639.0	915.0	0.0	0.0
Lambda__ont__k31__10x__seed456	ont	31	10	456	85.0	34	915	22.092	NA	639.0	915.0	0.0	0.0
Lambda__ont__k31__10x__seed456	ont	31	10	456	90.0	34	915	14.822	NA	518.0	886.0	7837.0	0.0
Lambda__ont__k31__10x__seed456	ont	31	10	456	95.0	34	915	NA	NA	NA	NA	22265.0	NA
Lambda__ont__k31__30x__seed42	ont	31	30	42	80.5	53	4682	34.982	521.0	553.0	826.0	9364.0	0.0
Lambda__ont__k31__30x__seed42	ont	31	30	42	85.0	53	4682	34.982	521.0	553.0	826.0	9364.0	0.0
Lambda__ont__k31__30x__seed42	ont	31	30	42	90.0	53	4682	21.393	NA	NA	758.0	22830.0	0.0
Lambda__ont__k31__30x__seed42	ont	31	30	42	95.0	53	4682	9.773	NA	NA	758.0	35195.0	0.0
Lambda__ont__k31__30x__seed123	ont	31	30	123	80.5	85	21920	44.99	610.0	NA	1578.0	83176.0	0.0
Lambda__ont__k31__30x__seed123	ont	31	30	123	85.0	85	21920	44.926	610.0	NA	1578.0	83176.0	0.0
Lambda__ont__k31__30x__seed123	ont	31	30	123	90.0	85	21920	23.762	508.0	NA	885.0	109719.0	0.0
Lambda__ont__k31__30x__seed123	ont	31	30	123	95.0	85	21920	4.996	NA	NA	704.0	133909.0	0.0
Lambda__ont__k31__30x__seed456	ont	31	30	456	80.5	95	2184	53.721	697.0	620.0	2112.0	1068.0	0.0
Lambda__ont__k31__30x__seed456	ont	31	30	456	85.0	95	2184	53.721	697.0	620.0	2112.0	1068.0	0.0
Lambda__ont__k31__30x__seed456	ont	31	30	456	90.0	95	2184	35.873	566.0	502.0	1442.0	29391.0	0.0
Lambda__ont__k31__30x__seed456	ont	31	30	456	95.0	95	2184	14.482	NA	NA	1442.0	56245.0	0.0
