technology	k	coverage	n_seeds	n_measured_nga50	n_degenerate	median_nga50	median_genome_fraction	median_contigs	median_contigs_ge_min	median_max_contig	nga50_status_mix	outcome	median_wall_seconds
illumina	11	10	3	0	3	NA	NA	4483.0	0.0	301.0	no_contigs_ge_min	degenerate	8.831
illumina	11	30	3	0	3	NA	NA	9207.0	0.0	268.0	no_contigs_ge_min	degenerate	27.963
illumina	11	50	3	0	3	NA	NA	13681.0	0.0	268.0	no_contigs_ge_min	degenerate	78.832
illumina	11	100	3	0	3	NA	NA	25902.0	0.0	268.0	no_contigs_ge_min	degenerate	124.679
illumina	15	10	3	3	0	2135.0	96.977	2015.0	66.0	4386.0	measured	partial	8.949
illumina	15	30	3	3	0	11024.0	99.687	5530.0	18.0	11296.0	measured	substantial	28.806
illumina	15	50	3	3	0	11024.0	99.678	8978.0	18.0	11296.0	measured	substantial	83.689
illumina	15	100	3	3	0	11024.0	99.68	17768.0	18.0	11296.0	measured	substantial	193.005
illumina	21	10	3	3	0	2161.0	96.165	2004.0	68.0	3615.0	measured	partial	6.696
illumina	21	30	3	3	0	48125.0	99.922	5444.0	2.0	48125.0	measured	near_complete	23.612
illumina	21	50	3	3	0	48482.0	99.959	8843.0	2.0	48482.0	measured	near_complete	73.466
illumina	21	100	3	3	0	48488.0	99.971	17500.0	2.0	48488.0	measured	near_complete	197.697
illumina	31	10	3	3	0	1468.0	94.105	2015.0	73.0	2762.0	measured	partial	11.536
illumina	31	30	3	3	0	48464.0	99.922	5357.0	3.0	48464.0	measured	near_complete	20.408
illumina	31	50	3	3	0	48479.0	99.959	8717.0	2.0	48479.0	measured	near_complete	73.849
illumina	31	100	3	3	0	48488.0	99.971	17215.0	2.0	48488.0	measured	near_complete	128.317
ont	11	10	3	0	3	NA	NA	48452.0	0.0	239.0	no_contigs_ge_min	degenerate	17.599
ont	11	30	3	0	3	NA	NA	149115.0	0.0	241.0	no_contigs_ge_min	degenerate	81.525
ont	11	50	3	0	3	NA	NA	252216.0	0.0	244.0	no_contigs_ge_min	degenerate	127.453
ont	11	100	3	0	3	NA	NA	423747.0	0.0	321.0	no_contigs_ge_min	degenerate	369.583
ont	15	10	3	0	3	NA	NA	25429.0	2.0	4481.0	censored_no_alignment|no_contigs_ge_min	degenerate	16.548
ont	15	30	3	2	1	568.5	50.744	69036.0	45.0	4090.0	censored_gf_below_50|measured	degenerate|partial	119.047
ont	15	50	3	3	0	1509.0	85.978	122270.0	76.0	3653.0	measured	partial	175.057
ont	15	100	3	3	0	5391.0	98.781	252396.0	144.0	9198.0	measured	partial|substantial	583.325
ont	21	10	3	0	3	NA	NA	20224.0	2.0	4682.0	censored_no_alignment|no_contigs_ge_min	degenerate	27.34
ont	21	30	3	0	3	NA	31.663	53271.0	25.0	4682.0	censored_gf_below_50	degenerate	128.509
ont	21	50	3	3	0	1014.0	77.498	93377.0	54.0	15775.0	measured	partial	231.366
ont	21	100	3	3	0	4541.0	98.757	199579.0	49.0	35647.0	measured	partial	547.894
ont	31	10	3	0	3	NA	NA	13656.0	31.0	4682.0	censored_no_alignment	degenerate	23.333
ont	31	30	3	0	3	NA	9.773	35736.0	85.0	4682.0	censored_gf_below_50	degenerate	177.778
ont	31	50	3	3	0	552.0	51.963	61292.0	162.0	15775.0	measured	partial	243.102
ont	31	100	3	3	0	2451.0	96.775	135311.0	180.0	35647.0	measured	partial	1436.969
