organism	technology	k	coverage	n_seeds	n_measured_nga50	n_degenerate	median_nga50	median_genome_fraction	median_contigs	median_contigs_ge_min	median_max_contig	nga50_status_mix	outcome	median_wall_seconds
Lambda	illumina	11	10	3	0	3	NA	NA	4483.0	0.0	301.0	no_contigs_ge_min	degenerate	3.389
Lambda	illumina	11	30	3	0	3	NA	NA	9207.0	0.0	268.0	no_contigs_ge_min	degenerate	9.878
Lambda	illumina	11	50	3	0	3	NA	NA	13681.0	0.0	268.0	no_contigs_ge_min	degenerate	19.852
Lambda	illumina	11	100	3	0	3	NA	NA	25902.0	0.0	268.0	no_contigs_ge_min	degenerate	54.312
Lambda	illumina	13	10	3	3	0	1041.0	79.021	2169.0	71.0	2718.0	measured	partial	3.319
Lambda	illumina	13	30	3	3	0	1553.0	85.722	5806.0	71.0	2942.0	measured	partial	12.287
Lambda	illumina	13	50	3	3	0	1486.0	83.757	9446.0	71.0	2942.0	measured	partial	21.889
Lambda	illumina	13	100	3	3	0	1484.0	83.761	18665.0	71.0	2942.0	measured	partial	36.605
Lambda	illumina	15	10	3	3	0	2135.0	96.977	2015.0	66.0	4386.0	measured	partial	3.152
Lambda	illumina	15	30	3	3	0	11024.0	99.687	5530.0	18.0	11296.0	measured	substantial	10.909
Lambda	illumina	15	50	3	3	0	11024.0	99.678	8978.0	18.0	11296.0	measured	substantial	16.685
Lambda	illumina	15	100	3	3	0	11024.0	99.68	17768.0	18.0	11296.0	measured	substantial	50.39
Lambda	illumina	17	10	3	3	0	2259.0	96.992	2009.0	66.0	4743.0	measured	partial	3.214
Lambda	illumina	17	30	3	3	0	48464.0	99.922	5481.0	2.0	48464.0	measured	near_complete	11.711
Lambda	illumina	17	50	3	3	0	48479.0	99.959	8912.0	2.0	48479.0	measured	near_complete	15.226
Lambda	illumina	17	100	3	3	0	48488.0	99.971	17612.0	2.0	48488.0	measured	near_complete	39.862
Lambda	illumina	19	10	3	3	0	2344.0	97.398	2010.0	66.0	3631.0	measured	partial	3.847
Lambda	illumina	19	30	3	3	0	48464.0	99.922	5465.0	2.0	48464.0	measured	near_complete	8.522
Lambda	illumina	19	50	3	3	0	48479.0	99.959	8864.0	2.0	48479.0	measured	near_complete	15.925
Lambda	illumina	19	100	3	3	0	48488.0	99.971	17538.0	2.0	48488.0	measured	near_complete	36.803
Lambda	illumina	21	10	3	3	0	2161.0	96.165	2004.0	68.0	3615.0	measured	partial	3.155
Lambda	illumina	21	30	3	3	0	48125.0	99.922	5444.0	2.0	48125.0	measured	near_complete	9.045
Lambda	illumina	21	50	3	3	0	48482.0	99.959	8843.0	2.0	48482.0	measured	near_complete	19.76
Lambda	illumina	21	100	3	3	0	48488.0	99.971	17500.0	2.0	48488.0	measured	near_complete	56.341
Lambda	illumina	31	10	3	3	0	1468.0	94.105	2015.0	73.0	2762.0	measured	partial	8.661
Lambda	illumina	31	30	3	3	0	48464.0	99.922	5357.0	3.0	48464.0	measured	near_complete	9.504
Lambda	illumina	31	50	3	3	0	48479.0	99.959	8717.0	2.0	48479.0	measured	near_complete	16.258
Lambda	illumina	31	100	3	3	0	48488.0	99.971	17215.0	2.0	48488.0	measured	near_complete	46.54
Lambda	ont	11	10	3	0	3	NA	NA	48452.0	0.0	239.0	no_contigs_ge_min	degenerate	6.288
Lambda	ont	11	30	3	0	3	NA	NA	149115.0	0.0	241.0	no_contigs_ge_min	degenerate	25.601
Lambda	ont	11	50	3	0	3	NA	NA	252216.0	0.0	244.0	no_contigs_ge_min	degenerate	45.207
Lambda	ont	11	100	3	0	3	NA	NA	423747.0	0.0	321.0	no_contigs_ge_min	degenerate	107.165
Lambda	ont	13	10	3	0	3	NA	NA	29685.0	4.0	662.0	censored_no_alignment|no_contigs_ge_min	degenerate	6.79
Lambda	ont	13	30	3	1	2	517.0	35.85	86474.0	25.0	1471.0	censored_partial_alignment|measured	degenerate|partial	27.761
Lambda	ont	13	50	3	3	0	779.0	66.183	157918.0	52.0	1737.0	measured	partial	49.287
Lambda	ont	13	100	3	3	0	1170.0	80.999	336924.0	58.0	2835.0	measured	partial	136.322
Lambda	ont	15	10	3	0	3	NA	NA	25429.0	2.0	4481.0	censored_no_alignment|no_contigs_ge_min	degenerate	7.577
Lambda	ont	15	30	3	2	1	568.5	50.744	69036.0	45.0	4090.0	censored_partial_alignment|measured	degenerate|partial	27.352
Lambda	ont	15	50	3	3	0	1509.0	85.978	122270.0	76.0	3653.0	measured	partial	51.491
Lambda	ont	15	100	3	3	0	5391.0	98.781	252396.0	144.0	9198.0	measured	partial|substantial	135.392
Lambda	ont	17	10	3	0	3	NA	NA	23471.0	2.0	4681.0	censored_no_alignment|no_contigs_ge_min	degenerate	6.525
Lambda	ont	17	30	3	1	2	608.0	39.25	62806.0	40.0	4681.0	censored_partial_alignment|measured	degenerate|partial	25.088
Lambda	ont	17	50	3	3	0	1307.0	85.252	110404.0	66.0	4681.0	measured	partial	54.384
Lambda	ont	17	100	3	3	0	4498.0	99.767	229807.0	67.0	11173.0	measured	partial|substantial	178.087
