stage	chemistry	coverage	seed	condition	n_reads	digest	n_contigs	largest_contig	mean_joint_quality	skip_fraction_per_pass	decode_fraction_per_pass	cheap_corrections_total	wall_seconds
C_end_to_end	illumina	10	42	oracle	360	be04e46c8d08628ca7ebcd16d04f4d7936c6975f0adc93a36c70657593f226f4	1	5347	227.04668531247918	[1.0, 0.9416666666666667, 0.9833333333333333, 0.9861111111111112]	[0.0, 0.05833333333333335, 0.01666666666666672, 0.01388888888888884]	74	24.834
C_end_to_end	illumina	10	42	constant40	360	be04e46c8d08628ca7ebcd16d04f4d7936c6975f0adc93a36c70657593f226f4	1	5347	231.51495204062442	[1.0, 0.9416666666666667, 0.9638888888888889, 0.9638888888888889]	[0.0, 0.05833333333333335, 0.036111111111111094, 0.036111111111111094]	74	3.766
C_end_to_end	illumina	10	42	constant02	360	be04e46c8d08628ca7ebcd16d04f4d7936c6975f0adc93a36c70657593f226f4	1	5347	16.200865149520407	[1.0, 0.9416666666666667, 0.9833333333333333, 0.9861111111111112]	[0.0, 0.05833333333333335, 0.01666666666666672, 0.01388888888888884]	74	3.071
C_end_to_end	illumina	10	42	antioracle	360	be04e46c8d08628ca7ebcd16d04f4d7936c6975f0adc93a36c70657593f226f4	1	5347	97.54933961062207	[1.0, 0.9416666666666667, 0.9833333333333333, 0.9861111111111112]	[0.0, 0.05833333333333335, 0.01666666666666672, 0.01388888888888884]	74	2.706
C_end_to_end	pacbio	10	42	oracle	27	e18dbb18cb58098be36b245edbee14df3d74d17d156e73b445051eada489c13f	623	591	43.08533718108656	[1.0, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0]	329	7.977
C_end_to_end	pacbio	10	42	constant40	27	e18dbb18cb58098be36b245edbee14df3d74d17d156e73b445051eada489c13f	623	591	60.92470604901544	[1.0, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0]	329	8.485
C_end_to_end	pacbio	10	42	constant02	27	e18dbb18cb58098be36b245edbee14df3d74d17d156e73b445051eada489c13f	623	591	3.6997095905935686	[1.0, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0]	329	8.715
C_end_to_end	pacbio	10	42	antioracle	27	e18dbb18cb58098be36b245edbee14df3d74d17d156e73b445051eada489c13f	623	591	11.918210680485663	[1.0, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0]	329	8.188
C_end_to_end	ont	10	42	oracle	18	85fd6f69e4cec5806c25512ad334fa3f836c65bcd66432631337c29a7190cdbd	2030	200	34.329314953967256	[1.0, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0]	120	11.84
C_end_to_end	ont	10	42	constant40	18	85fd6f69e4cec5806c25512ad334fa3f836c65bcd66432631337c29a7190cdbd	2030	200	68.74327882226424	[1.0, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0]	120	10.448
C_end_to_end	ont	10	42	constant02	18	85fd6f69e4cec5806c25512ad334fa3f836c65bcd66432631337c29a7190cdbd	2030	200	3.952757073460155	[1.0, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0]	120	10.184
C_end_to_end	ont	10	42	antioracle	18	85fd6f69e4cec5806c25512ad334fa3f836c65bcd66432631337c29a7190cdbd	2030	200	9.11469236811321	[1.0, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0]	120	11.707
