chemistry	coverage	regime	obs_bin	n_kmers	observed_error_rate	predicted_independence	predicted_conservative	log10_overconfidence_independence
illumina	5	random	1-1	4056	0.641	0.04052	0.04052	1.2
illumina	5	random	2-2	1814	0.0	3.981e-8	0.000399	-Inf
illumina	5	random	3-4	3458	0.0	4.305e-12	0.0006898	-Inf
illumina	5	random	5-8	3390	0.0	1.153e-19	0.001213	-Inf
illumina	5	random	9-16	306	0.0	2.457e-34	0.001918	-Inf
illumina	5	artifact	1-1	3926	0.6465	0.04086	0.04086	1.2
illumina	5	artifact	2-2	1782	0.0	3.981e-8	0.000399	-Inf
illumina	5	artifact	3-4	3538	0.006218	9.856e-8	0.002112	4.8
illumina	5	artifact	5-8	3334	0.012	1.2e-8	0.004523	6.0
illumina	5	artifact	9-16	354	0.0	2.662e-34	0.001933	-Inf
illumina	10	random	1-1	4694	0.9757	0.06157	0.06157	1.2
illumina	10	random	2-2	264	0.1818	0.0007239	0.02254	2.4
illumina	10	random	3-4	1492	0.0	3.6e-12	0.0007076	-Inf
illumina	10	random	5-8	4744	0.0	6.641000000000001e-20	0.001305	-Inf
illumina	10	random	9-16	4026	0.0	1.3520000000000001e-34	0.002185	-Inf
illumina	10	random	17-inf	42	0.0	1.1390000000000001e-63	0.003408	-Inf
illumina	10	artifact	1-1	5038	0.9631	0.06077	0.06077	1.2
illumina	10	artifact	2-2	218	0.0	3.981e-8	0.000399	-Inf
illumina	10	artifact	3-4	1332	0.0	3.495e-12	0.0007102	-Inf
illumina	10	artifact	5-8	5166	0.006194	1.319e-10	0.003576	7.67
illumina	10	artifact	9-16	3624	0.008278	4.106e-14	0.006073	11.3
illumina	10	artifact	17-inf	108	0.0	6.761e-64	0.003543	-Inf
illumina	20	random	1-1	9420	0.9943	0.06274	0.06274	1.2
illumina	20	random	2-2	86	0.7209	0.00287	0.08819	2.4
illumina	20	random	3-4	64	0.0	3.476e-12	0.0007107	-Inf
illumina	20	random	5-8	286	0.0	5.972000000000001e-20	0.001355	-Inf
illumina	20	random	9-16	6280	0.0	1.549e-35	0.002618	-Inf
illumina	20	random	17-inf	3982	0.0	2.517e-64	0.003915	-Inf
illumina	20	artifact	1-1	9810	0.9945	0.06275	0.06275	1.2
illumina	20	artifact	2-2	38	0.3684	0.001467	0.04527	2.4
illumina	20	artifact	3-4	86	0.0	5.173e-12	0.000668	-Inf
illumina	20	artifact	5-8	386	0.0	6.883e-20	0.001369	-Inf
illumina	20	artifact	9-16	6132	0.001631	1.0289999999999999e-22	0.003713	19.2
illumina	20	artifact	17-inf	4008	0.01297	9.631999999999999e-24	0.01284	21.13
illumina	40	random	1-1	21184	0.9994	0.06306	0.06306	1.2
illumina	40	random	2-2	190	0.7789	0.003101	0.09526	2.4
illumina	40	random	3-4	22	0.0	2.168e-12	0.0007436	-Inf
illumina	40	random	5-8	84	0.0	9.036000000000001e-20	0.001387	-Inf
illumina	40	random	9-16	100	0.0	8.020000000000001e-35	0.002503	-Inf
illumina	40	random	17-inf	10430	0.0	2.415e-66	0.00613	-Inf
illumina	40	artifact	1-1	20866	0.9994	0.06306	0.06306	1.2
illumina	40	artifact	2-2	88	0.6591	0.002624	0.08066	2.4
illumina	40	artifact	3-4	32	0.0	6.454e-12	0.0006358	-Inf
illumina	40	artifact	5-8	90	0.0	9.839000000000001e-20	0.001339	-Inf
illumina	40	artifact	9-16	78	0.0	6.427e-35	0.002392	-Inf
illumina	40	artifact	17-inf	10460	0.005927	3.3590000000000005e-42	0.01137	39.25
pacbio	5	random	1-1	36000	0.9348	0.1978	0.1978	0.67
pacbio	5	random	2-2	2458	0.06753	0.0032	0.03058	1.32
pacbio	5	random	3-4	2434	0.0	3.682e-8	0.01603	-Inf
