chemistry	coverage	regime	n_true_kmers	frac_true_at_clamp	median_unclamped_joint
illumina	5	random	10424	0.1387	148.0
illumina	5	artifact	10334	0.1384	148.0
illumina	10	random	10634	0.6201	259.0
illumina	10	artifact	10572	0.6116	259.0
illumina	20	random	10690	0.9762	555.0
illumina	20	artifact	10628	0.9706	555.0
illumina	40	random	10690	0.9901	1147.0
illumina	40	artifact	10640	0.9891	1147.0
pacbio	5	random	8120	0.0	50.0
pacbio	5	artifact	8278	0.0	50.0
pacbio	10	random	8762	0.0363	100.0
pacbio	10	artifact	9582	0.0	100.0
pacbio	20	random	10226	0.3745	175.0
pacbio	20	artifact	9974	0.3425	200.0
pacbio	40	random	10384	0.6629	400.0
pacbio	40	artifact	10406	0.6754	375.0
ont	5	random	5398	0.0	18.0
ont	5	artifact	5650	0.0	18.0
ont	10	random	7450	0.0	36.0
ont	10	artifact	7560	0.0	36.0
ont	20	random	8976	0.0	54.0
ont	20	artifact	9074	0.0	58.0
ont	40	random	9696	0.0342	126.0
ont	40	artifact	9940	0.03	126.0
