chemistry	coverage	seed	arm	condition	n_reads	corrupted_base_fraction	digest	n_contigs	total_length	largest_contig	n50	wall_seconds
illumina	5	42	qualmer	oracle	180	0.00196	b2d55dc8068d8f10b3ca8a51380023c1d36698ffa38a3e0f91f4cc287c0139ac	141	17253	853	210	4.908
illumina	5	42	qualmer	constant40	180	0.00196	b2d55dc8068d8f10b3ca8a51380023c1d36698ffa38a3e0f91f4cc287c0139ac	141	17253	853	210	0.317
illumina	5	42	qualmer	constant02	180	0.00196	b2d55dc8068d8f10b3ca8a51380023c1d36698ffa38a3e0f91f4cc287c0139ac	141	17253	853	210	0.275
illumina	5	42	qualmer	antioracle	180	0.00196	b2d55dc8068d8f10b3ca8a51380023c1d36698ffa38a3e0f91f4cc287c0139ac	141	17253	853	210	0.264
illumina	5	42	kmer	fasta_no_quality	180	0.00196	b2d55dc8068d8f10b3ca8a51380023c1d36698ffa38a3e0f91f4cc287c0139ac	141	17253	853	210	1.609
illumina	5	42	qualmer	sensitivity_control_1base	180	0.00196	ecf2493ad552a9bb7807157c0716d2130ab200a65e849986cbdcc6ddd30f9384	-1	-1	-1	-1	-1.0
illumina	5	123	qualmer	oracle	180	0.00167	34db01d17f4de606d020a49cf3f8d8471c1c02d182f2110e5eb329c9e4c65e46	111	15730	1079	374	0.202
illumina	5	123	qualmer	constant40	180	0.00167	34db01d17f4de606d020a49cf3f8d8471c1c02d182f2110e5eb329c9e4c65e46	111	15730	1079	374	0.248
illumina	5	123	qualmer	constant02	180	0.00167	34db01d17f4de606d020a49cf3f8d8471c1c02d182f2110e5eb329c9e4c65e46	111	15730	1079	374	0.282
illumina	5	123	qualmer	antioracle	180	0.00167	34db01d17f4de606d020a49cf3f8d8471c1c02d182f2110e5eb329c9e4c65e46	111	15730	1079	374	0.235
illumina	5	123	kmer	fasta_no_quality	180	0.00167	34db01d17f4de606d020a49cf3f8d8471c1c02d182f2110e5eb329c9e4c65e46	111	15730	1079	374	0.137
illumina	5	123	qualmer	sensitivity_control_1base	180	0.00167	57aeb4a5b376484d5bb866771afe4b410f6176bdec561a42b58d585454676136	-1	-1	-1	-1	-1.0
illumina	10	42	qualmer	oracle	360	0.00183	20d8b97865055d517794bdedbb6e2d5678d4d7d694562ba5e9cffe48d06e33a0	205	21412	2124	144	0.51
