chemistry	coverage	seed	n_reads	corrupted_base_fraction	quality_conditions_identical	kmer_arm_identical	sensitivity_control_detected_change	oracle_n_contigs	oracle_n50
illumina	5	42	180	0.00196	true	true	true	141	210
illumina	5	123	180	0.00167	true	true	true	111	374
illumina	10	42	360	0.00183	true	true	true	205	144
illumina	10	123	360	0.00211	true	true	true	230	84
illumina	30	42	1078	0.00204	true	true	true	595	61
illumina	30	123	1078	0.00215	true	true	true	628	61
pacbio	5	42	14	0.02322	true	true	true	864	86
pacbio	5	123	14	0.02252	true	true	true	912	81
pacbio	10	42	27	0.02369	true	true	true	1518	80
pacbio	10	123	27	0.02326	true	true	true	1613	80
pacbio	30	42	81	0.02368	true	true	true	4484	75
pacbio	30	123	81	0.02316	true	true	true	4455	76
ont	5	42	9	0.04436	true	true	true	508	173
ont	5	123	9	0.0444	true	true	true	530	173
ont	10	42	18	0.04399	true	true	true	1268	132
ont	10	123	18	0.04571	true	true	true	1378	129
ont	30	42	54	0.0447	true	true	true	4069	115
ont	30	123	54	0.04467	true	true	true	4100	115
