label,cell,seed,arm,n_reads,substitution_length_divergences,window_divergences,window_anchor_rejections,trace_contract_errors,indel_engaged,indel_requested,reassembly_k,n_contigs,largest_contig,largest_ratio,total_contig_bases,wall_seconds
fix,2000/1200/8x/e0.01,42,illumina,14,0,0,0,0,0,0,31,71,1659,0.8295,6292,14.3
fix,2000/1200/8x/e0.01,42,nanopore,14,6,0,5,0,48,209,31,6,1399,0.6995,2240,52.2
fix,2000/1200/8x/e0.01,43,illumina,14,0,0,0,0,0,0,31,64,1650,0.825,5882,1.3
fix,2000/1200/8x/e0.01,43,nanopore,14,8,0,5,0,62,206,31,1,1904,0.952,1904,26.1
fix,2000/1200/8x/e0.01,44,illumina,14,0,0,0,0,0,0,31,66,1436,0.718,6027,1.0
fix,2000/1200/8x/e0.01,44,nanopore,14,22,0,4,0,52,197,31,6,1659,0.8295,2164,34.0
fix,2000/1200/20x/e0.01,42,illumina,34,0,0,0,0,0,0,31,185,1809,0.9045,13727,2.4
fix,2000/1200/20x/e0.01,42,nanopore,34,34,0,13,0,23,451,31,142,1928,0.964,10436,70.4
fix,2000/1200/20x/e0.01,43,illumina,34,0,0,0,0,0,0,31,206,1812,0.906,14716,2.3
fix,2000/1200/20x/e0.01,43,nanopore,34,6,0,2,0,11,428,31,156,1387,0.6935,10694,62.8
fix,2000/1200/20x/e0.01,44,illumina,34,0,0,0,0,0,0,31,199,1941,0.9705,14594,2.8
fix,2000/1200/20x/e0.01,44,nanopore,34,26,0,8,0,13,464,31,138,1449,0.7245,9930,60.6
fix,6000/1200/20x/e0.01,42,illumina,100,0,0,0,0,0,0,31,606,5453,0.9088,44143,10.0
fix,6000/1200/20x/e0.01,42,nanopore,100,108,0,22,0,34,1303,31,453,2789,0.4648,32966,240.5
fix,6000/1200/20x/e0.01,43,illumina,100,0,0,0,0,0,0,31,596,5579,0.9298,43643,13.5
fix,6000/1200/20x/e0.01,43,nanopore,100,98,0,13,0,32,1269,31,444,5032,0.8387,32947,287.2
fix,6000/1200/20x/e0.01,44,illumina,100,0,0,0,0,0,0,31,593,5443,0.9072,43167,24.5
fix,6000/1200/20x/e0.01,44,nanopore,100,44,0,21,0,49,1290,31,359,5391,0.8985,27712,256.6
