label,cell,seed,arm,n_reads,substitution_length_divergences,window_divergences,window_anchor_rejections,trace_contract_errors,indel_engaged,indel_requested,reassembly_k,n_contigs,largest_contig,largest_ratio,total_contig_bases,wall_seconds
master,2000/1200/8x/e0.01,42,illumina,14,0,0,0,0,0,0,31,71,1659,0.8295,6292,15.0
master,2000/1200/8x/e0.01,42,nanopore,14,6,0,5,0,60,248,31,5,904,0.452,2181,55.8
master,2000/1200/8x/e0.01,43,illumina,14,0,0,0,0,0,0,31,64,1650,0.825,5882,1.0
master,2000/1200/8x/e0.01,43,nanopore,14,8,0,5,0,58,226,31,1,1904,0.952,1904,31.0
master,2000/1200/8x/e0.01,44,illumina,14,0,0,0,0,0,0,31,66,1436,0.718,6027,1.2
master,2000/1200/8x/e0.01,44,nanopore,14,25,0,9,0,52,181,31,6,1659,0.8295,2164,34.7
master,2000/1200/20x/e0.01,42,illumina,34,0,0,0,0,0,0,31,185,1809,0.9045,13727,3.2
master,2000/1200/20x/e0.01,42,nanopore,34,53,0,23,0,23,470,31,100,1360,0.68,7919,69.9
master,2000/1200/20x/e0.01,43,illumina,34,0,0,0,0,0,0,31,206,1812,0.906,14716,2.1
master,2000/1200/20x/e0.01,43,nanopore,34,21,0,46,0,17,428,31,86,952,0.476,6728,65.7
master,2000/1200/20x/e0.01,44,illumina,34,0,0,0,0,0,0,31,199,1941,0.9705,14594,2.6
master,2000/1200/20x/e0.01,44,nanopore,34,40,0,38,0,26,465,31,99,1963,0.9815,7660,66.8
master,6000/1200/20x/e0.01,42,illumina,100,0,0,0,0,0,0,31,606,5453,0.9088,44143,13.5
master,6000/1200/20x/e0.01,42,nanopore,100,164,0,126,0,39,1326,31,326,2654,0.4423,24857,237.1
master,6000/1200/20x/e0.01,43,illumina,100,0,0,0,0,0,0,31,596,5579,0.9298,43643,13.5
master,6000/1200/20x/e0.01,43,nanopore,100,177,0,128,0,29,1244,31,318,1247,0.2078,24653,291.8
master,6000/1200/20x/e0.01,44,illumina,100,0,0,0,0,0,0,31,593,5443,0.9072,43167,20.0
master,6000/1200/20x/e0.01,44,nanopore,100,108,0,108,0,58,1336,31,245,1546,0.2577,20282,262.2
