graph_id,graph_source,k,window_bases,n_observations,window_start,phase,replicate,elapsed_ms,algorithm,path_available,pair_hmm_path_valid,pair_hmm_valid,truncated,completed_columns,decoded_read_index,terminal_contract_valid,graph_step_trace_aligned,path_length_aligned,corrected_path_aligned,move_counts_aligned,path_trace_aligned,trace_complete,complete,full_decode,frontier_area,edge_expansions,peak_frontier
branching_k3_complete,synthetic_branching,3,250,248,1,warmup,0,55168.495792,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,1,45158.659416,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,2,38965.983417,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,3,36169.935458,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,4,57474.271334,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,5,40371.644417,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,warmup,0,173464.889625,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,1,166416.606,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,2,181358.076584,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,3,142880.059958,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,4,142853.784792,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,5,148000.464917,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,1200,1198,1,warmup,0,45776.951833,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678016,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,1,50000.317,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678016,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,2,47974.938625,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678016,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,3,72244.904,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678016,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,4,48280.813375,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678016,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,5,65138.951792,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678016,768
linear_2001,synthetic_linear,9,250,242,1,warmup,0,2027.043917,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,1,155.956833,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,2,153.906417,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,3,142.211666,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,4,145.878292,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,5,161.702458,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,500,492,1,warmup,0,325.022042,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_2001,synthetic_linear,9,500,492,1,measurement,1,363.178417,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_2001,synthetic_linear,9,500,492,1,measurement,2,294.503417,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
