graph_id,graph_source,k,strand_mode,window_bases,n_observations,window_start,n_vertices,n_edges,branch_vertices,join_vertices,branch_fraction,join_fraction,mean_outdegree,p95_outdegree,max_outdegree,probe_anchored,probe_reason,probe_completed_columns,probe_frontier_area,probe_edge_expansions,probe_peak_frontier,probe_frontier_work,frontier_work_limit,beam_width,warmup_ms,median_ms,p95_ms,min_ms,max_ms,repeats,pair_hmm_samples,pair_hmm_path_valid,pair_hmm_valid,pair_hmm_terminal_contract_valid,pair_hmm_path_trace_aligned,pair_hmm_trace_complete,pair_hmm_truncated,pair_hmm_truncated_samples,pair_hmm_complete,pair_hmm_complete_samples,pair_hmm_full_decode,cleanup_vertices_before,cleanup_vertices_after,cleanup_tips_removed,cleanup_bubbles_collapsed,accuracy_metric_used
branching_k3_complete,synthetic_branching,3,singlestrand,250,248,1,64,256,64,64,1.0,1.0,4.0,4.0,4,true,work_limit,9,43768,256233,9280,300001,300000,9223372036854775807,55168.495792,40371.644417,55011.1489504,36169.935458,57474.271334,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
branching_k3_complete,synthetic_branching,3,singlestrand,500,498,1,64,256,64,64,1.0,1.0,4.0,4.0,4,true,work_limit,9,43768,256233,9280,300001,300000,9223372036854775807,173464.889625,148000.464917,178369.78246719998,142853.784792,181358.076584,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
branching_k3_complete,synthetic_branching,3,singlestrand,1200,1198,1,64,256,64,64,1.0,1.0,4.0,4.0,4,true,work_limit,9,43768,256233,9280,300001,300000,256,45776.951833,50000.317,70823.71355839999,47974.938625,72244.904,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_2001,synthetic_linear,9,singlestrand,250,242,1,2001,2000,0,0,0.0,0.0,0.9995002498750625,1.0,1,true,complete,242,51306,74331,219,125637,300000,256,2027.043917,153.906417,160.553333,142.211666,161.702458,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_2001,synthetic_linear,9,singlestrand,500,492,1,2001,2000,0,0,0.0,0.0,0.9995002498750625,1.0,1,true,complete,492,106056,153831,219,259887,300000,256,325.022042,355.246125,373.700917,294.503417,376.331542,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_2001,synthetic_linear,9,singlestrand,1200,1192,1,2001,2000,0,0,0.0,0.0,0.9995002498750625,1.0,1,true,work_limit,567,122481,177681,219,300162,300000,256,961.345541,930.528875,957.7385333999999,900.750709,962.768375,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_10001,synthetic_linear,9,singlestrand,250,242,1,10001,10000,0,0,0.0,0.0,0.9999000099990001,1.0,1,true,complete,242,51306,74331,219,125637,300000,256,165.379708,163.110208,174.49637539999998,158.537791,176.250917,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_10001,synthetic_linear,9,singlestrand,500,492,1,10001,10000,0,0,0.0,0.0,0.9999000099990001,1.0,1,true,complete,492,106056,153831,219,259887,300000,256,349.125875,318.531084,328.71860820000006,303.423041,330.480208,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_10001,synthetic_linear,9,singlestrand,1200,1192,1,10001,10000,0,0,0.0,0.0,0.9999000099990001,1.0,1,true,work_limit,567,122481,177681,219,300162,300000,256,855.629209,889.130917,913.8346329999999,868.071834,918.716458,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
fixed_toy_k31_raw,raw_fixed_toy,31,doublestrand,250,220,1,29490,29750,278,278,0.00942692438114615,0.00942692438114615,1.008816547982367,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,2064.39675,126.403166,129.303509,113.224209,129.659334,5,6,true,false,false,true,false,true,6,false,0,false,,,,,false
fixed_toy_k31_raw,raw_fixed_toy,31,doublestrand,500,470,1,29490,29750,278,278,0.00942692438114615,0.00942692438114615,1.008816547982367,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,131.534041,121.881584,136.7211834,119.840667,138.371125,5,6,true,false,false,true,false,true,6,false,0,false,,,,,false
fixed_toy_k31_raw,raw_fixed_toy,31,doublestrand,1200,1170,1,29490,29750,278,278,0.00942692438114615,0.00942692438114615,1.008816547982367,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,133.756375,132.444833,138.6300162,116.78925,140.116541,5,6,true,false,false,true,false,true,6,false,0,false,,,,,false
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,doublestrand,250,220,1,28196,28456,260,260,0.009221166122854306,0.009221166122854306,1.0092211661228543,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,122.204791,123.595375,126.6591664,122.24825,127.236958,5,6,true,false,false,true,false,true,6,false,0,false,29490,28196,1294,0,false
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,doublestrand,500,470,1,28196,28456,260,260,0.009221166122854306,0.009221166122854306,1.0092211661228543,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,127.636583,130.521,136.1594914,120.37525,136.977708,5,6,true,false,false,true,false,true,6,false,0,false,29490,28196,1294,0,false
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,doublestrand,1200,1170,1,28196,28456,260,260,0.009221166122854306,0.009221166122854306,1.0092211661228543,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,125.447084,130.346375,133.04959200000002,119.245291,133.624792,5,6,true,false,false,true,false,true,6,false,0,false,29490,28196,1294,0,false
