graph_id,graph_source,k,window_bases,n_observations,window_start,phase,replicate,elapsed_ms,algorithm,path_available,pair_hmm_path_valid,pair_hmm_valid,truncated,completed_columns,decoded_read_index,terminal_contract_valid,graph_step_trace_aligned,path_length_aligned,corrected_path_aligned,move_counts_aligned,path_trace_aligned,trace_complete,complete,full_decode,frontier_area,edge_expansions,peak_frontier
branching_k3_complete,synthetic_branching,3,250,248,1,warmup,0,39265.056416,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,1,37498.221916,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,2,37342.599125,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,3,41277.453375,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,4,41951.309917,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,5,42535.566167,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,warmup,0,137727.976458,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,1,130416.024208,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,2,145990.397083,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,3,197647.127333,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,4,215384.3395,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
