graph_id,graph_source,k,strand_mode,window_bases,n_observations,window_start,n_vertices,n_edges,branch_vertices,join_vertices,branch_fraction,join_fraction,mean_outdegree,p95_outdegree,max_outdegree,probe_anchored,probe_reason,probe_completed_columns,probe_frontier_area,probe_edge_expansions,probe_peak_frontier,probe_frontier_work,frontier_work_limit,beam_width,warmup_ms,median_ms,p95_ms,min_ms,max_ms,repeats,pair_hmm_samples,pair_hmm_path_valid,pair_hmm_valid,pair_hmm_terminal_contract_valid,pair_hmm_path_trace_aligned,pair_hmm_trace_complete,pair_hmm_truncated,pair_hmm_truncated_samples,pair_hmm_complete,pair_hmm_complete_samples,pair_hmm_full_decode,cleanup_vertices_before,cleanup_vertices_after,cleanup_tips_removed,cleanup_bubbles_collapsed,accuracy_metric_used
branching_k3_complete,synthetic_branching,3,singlestrand,250,248,1,64,256,64,64,1.0,1.0,4.0,4.0,4,true,work_limit,9,43768,256233,9280,300001,300000,9223372036854775807,39265.056416,41277.453375,42418.714917,37342.599125,42535.566167,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
branching_k3_complete,synthetic_branching,3,singlestrand,500,498,1,64,256,64,64,1.0,1.0,4.0,4.0,4,true,work_limit,9,43768,256233,9280,300001,300000,9223372036854775807,137727.976458,197647.127333,213136.1584834,130416.024208,215384.3395,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
branching_k3_complete,synthetic_branching,3,singlestrand,1200,1198,1,64,256,64,64,1.0,1.0,4.0,4.0,4,true,work_limit,9,43768,256233,9280,300001,300000,256,60738.822333,64535.698791,66249.0310836,64170.17225,66525.301417,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_2001,synthetic_linear,9,singlestrand,250,242,1,2001,2000,0,0,0.0,0.0,0.9995002498750625,1.0,1,true,complete,242,51306,74331,219,125637,300000,256,3290.295208,217.863875,221.174334,195.200833,221.802209,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_2001,synthetic_linear,9,singlestrand,500,492,1,2001,2000,0,0,0.0,0.0,0.9995002498750625,1.0,1,true,complete,492,106056,153831,219,259887,300000,256,437.358084,435.10675,490.2779586,429.446833,503.661792,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_2001,synthetic_linear,9,singlestrand,1200,1192,1,2001,2000,0,0,0.0,0.0,0.9995002498750625,1.0,1,true,work_limit,567,122481,177681,219,300162,300000,256,1269.578167,1207.715666,1210.160525,1167.342417,1210.321875,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_10001,synthetic_linear,9,singlestrand,250,242,1,10001,10000,0,0,0.0,0.0,0.9999000099990001,1.0,1,true,complete,242,51306,74331,219,125637,300000,256,217.431334,215.95075,222.2821088,203.355375,223.727834,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_10001,synthetic_linear,9,singlestrand,500,492,1,10001,10000,0,0,0.0,0.0,0.9999000099990001,1.0,1,true,complete,492,106056,153831,219,259887,300000,256,423.183167,436.454625,492.57955019999997,419.304166,498.891167,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
linear_10001,synthetic_linear,9,singlestrand,1200,1192,1,10001,10000,0,0,0.0,0.0,0.9999000099990001,1.0,1,true,work_limit,567,122481,177681,219,300162,300000,256,1200.059042,1195.116459,1244.8927078000002,1178.648917,1253.747166,5,6,true,true,true,true,true,false,0,true,6,true,,,,,false
fixed_toy_k31_raw,raw_fixed_toy,31,doublestrand,250,220,1,29490,29750,278,278,0.00942692438114615,0.00942692438114615,1.008816547982367,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,3229.333,175.63,180.512975,155.553125,180.96575,5,6,true,false,false,true,false,true,6,false,0,false,,,,,false
fixed_toy_k31_raw,raw_fixed_toy,31,doublestrand,500,470,1,29490,29750,278,278,0.00942692438114615,0.00942692438114615,1.008816547982367,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,185.564917,169.621583,193.14690860000002,161.436958,197.543292,5,6,true,false,false,true,false,true,6,false,0,false,,,,,false
fixed_toy_k31_raw,raw_fixed_toy,31,doublestrand,1200,1170,1,29490,29750,278,278,0.00942692438114615,0.00942692438114615,1.008816547982367,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,164.993,171.930792,224.2963586,162.703625,226.856292,5,6,true,false,false,true,false,true,6,false,0,false,,,,,false
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,doublestrand,250,220,1,28196,28456,260,260,0.009221166122854306,0.009221166122854306,1.0092211661228543,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,167.632959,186.847458,228.9876084,172.457541,233.612125,5,6,true,false,false,true,false,true,6,false,0,false,29490,28196,1294,0,false
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,doublestrand,500,470,1,28196,28456,260,260,0.009221166122854306,0.009221166122854306,1.0092211661228543,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,181.120917,183.138,207.48714999999999,161.673375,209.082,5,6,true,false,false,true,false,true,6,false,0,false,29490,28196,1294,0,false
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,doublestrand,1200,1170,1,28196,28456,260,260,0.009221166122854306,0.009221166122854306,1.0092211661228543,1.0,3,true,frontier_exhausted,169,31815,45831,219,77646,300000,256,162.340791,171.217959,192.6260332,162.316875,195.306583,5,6,true,false,false,true,false,true,6,false,0,false,29490,28196,1294,0,false
