graph_id,graph_source,k,window_bases,n_observations,window_start,phase,replicate,elapsed_ms,algorithm,path_available,pair_hmm_path_valid,pair_hmm_valid,truncated,completed_columns,decoded_read_index,terminal_contract_valid,graph_step_trace_aligned,path_length_aligned,corrected_path_aligned,move_counts_aligned,path_trace_aligned,trace_complete,complete,full_decode,frontier_area,edge_expansions,peak_frontier
branching_k3_complete,synthetic_branching,3,250,248,1,warmup,0,47928.417583,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,1,44661.491,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,2,40463.7725,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,3,42997.864042,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,4,44583.708083,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,250,248,1,measurement,5,40747.716625,viterbi_indel_pair_hmm,true,true,true,false,248,248,true,true,true,true,true,true,true,true,true,3364632,19501044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,warmup,0,151257.954916,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,1,160727.575417,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,2,172991.70775,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,3,156380.78675,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,4,169123.037833,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,500,498,1,measurement,5,175336.262667,viterbi_indel_pair_hmm,true,true,true,false,498,498,true,true,true,true,true,true,true,true,true,6868632,39853044,14016
branching_k3_complete,synthetic_branching,3,1200,1198,1,warmup,0,59008.083416,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678528,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,1,53863.453458,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678528,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,2,53735.088417,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678528,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,3,58203.872209,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678528,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,4,48496.34975,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678528,768
branching_k3_complete,synthetic_branching,3,1200,1198,1,measurement,5,53041.697458,viterbi_indel_pair_hmm,true,true,true,false,1198,1198,true,true,true,true,true,true,true,true,true,918911,19678528,768
linear_2001,synthetic_linear,9,250,242,1,warmup,0,2294.465666,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,1,164.018416,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,2,158.659833,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,3,171.406375,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,4,151.305917,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,250,242,1,measurement,5,188.157333,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_2001,synthetic_linear,9,500,492,1,warmup,0,334.845625,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_2001,synthetic_linear,9,500,492,1,measurement,1,361.636458,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_2001,synthetic_linear,9,500,492,1,measurement,2,350.671708,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_2001,synthetic_linear,9,500,492,1,measurement,3,329.95375,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
