Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source
1	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus SBFV2	E	Sulfolobales Beppu filamentous virus 2	SBFV2	SBFV2 clone B	MK064563	NC_048128	Complete coding genome	dsDNA	archaea
2	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus SFV1	E	Sulfolobus filamentous virus 1	SFV1	SFV1 isolate S48	MH447526	NC_048037	Complete genome	dsDNA	archaea
3	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 3	E	Acidianus filamentous virus 3	AFV3		AM087120	NC_010155	Complete genome	dsDNA	archaea
4	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 6	E	Acidianus filamentous virus 6	AFV6		AM087121	NC_010152	Complete genome	dsDNA	archaea
5	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 7	E	Acidianus filamentous virus 7	AFV7		AM087122	NC_010153	Complete genome	dsDNA	archaea
6	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 8	E	Acidianus filamentous virus 8	AFV8		AM087123	NC_010154	Complete genome	dsDNA	archaea
7	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 9	E	Acidianus filamentous virus 9	AFV9		EU545650	NC_010537	Complete genome	dsDNA	archaea
8	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Sulfolobus islandicus filamentous virus	E	Sulfolobus islandicus filamentous virus	SIFV		AF440571	NC_003214	Complete genome	dsDNA	archaea
9	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Acidianus filamentous virus 2	E	Acidianus filamentous virus 2	AFV2		AJ854042	NC_009884	Complete genome	dsDNA	archaea
10	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus SBFV3	E	Sulfolobales Beppu filamentous virus 3	SBFV3	SBFV3 clone C	MK064564	NC_048127	Complete coding genome	dsDNA	archaea
11	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Azorudivirus		Azorudivirus SRV	E	Stygiolobus rod-shaped virus	SRV		FM164764	NC_025375	Complete coding genome	dsDNA	archaea
12	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus ARV2	E	Acidianus rod-shaped virus 2	ARV2		KP282675	NC_029314	Complete coding genome	dsDNA	archaea
13	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus ARV3	E	Acidianus rod-shaped virus 3	ARV3		MN876842		Complete coding genome	dsDNA	archaea
14	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus MRV1	E	Metallosphaera rod-shaped virus 1	MRV1		MN876843		Complete coding genome	dsDNA	archaea
15	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus SSRV1	E	Saccharolobus solfataricus rod-shaped virus 1	SSRV1		MN876841		Complete coding genome	dsDNA	archaea
16	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus SIRV1	E	Sulfolobus islandicus rod-shaped virus 1	SIRV1		AJ414696	NC_004087	Complete genome	dsDNA	archaea
17	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus SIRV2	E	Sulfolobus islandicus rod-shaped virus 2	SIRV2		AJ344259	NC_004086	Complete genome	dsDNA	archaea
18	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus SIRV3	E	Sulfolobus islandicus rod-shaped virus 3	SIRV3		KX712143	NC_030884	Complete coding genome	dsDNA	archaea
19	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Itarudivirus		Itarudivirus ARV1	E	Acidianus rod-shaped virus 1	ARV1		AJ875026	NC_009965	Complete coding genome	dsDNA	archaea
20	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Japarudivirus		Japarudivirus SBRV1	E	Sulfolobales Beppu rod-shaped virus 1	SBRV1		MK064565		Complete coding genome	dsDNA	archaea
21	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Mexirudivirus		Mexirudivirus SMRV1	E	Sulfolobales Mexican rod-shaped virus 1	SMRV1		JX944686	NC_019413	Complete coding genome	dsDNA	archaea
22	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV4	E	Sulfolobus islandicus rod-shaped virus 4	SIRV4		KY744231	NC_034628	Complete coding genome	dsDNA	archaea
23	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV5	E	Sulfolobus islandicus rod-shaped virus 5	SIRV5		KY744233	NC_034621	Complete coding genome	dsDNA	archaea
24	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV8	E	Sulfolobus islandicus rod-shaped virus 8	SIRV8		KY744229	NC_034623	Complete coding genome	dsDNA	archaea
25	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV9	E	Sulfolobus islandicus rod-shaped virus 9	SIRV9		KY744228	NC_034620	Complete coding genome	dsDNA	archaea
26	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV10	E	Sulfolobus islandicus rod-shaped virus 10	SIRV10		KY744230	NC_034625	Complete coding genome	dsDNA	archaea
27	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV11	E	Sulfolobus islandicus rod-shaped virus 11	SIRV11		KY744234	NC_034624	Complete coding genome	dsDNA	archaea
28	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Ungulaviridae		Captovirus		Captovirus AFV1	E	Acidianus filamentous virus 1	AFV1		AJ567472	NC_005830	Complete genome	dsDNA	archaea
29	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Maximonvirales		Ahmunviridae		Yumkaaxvirus		Yumkaaxvirus pescaderoense	E	Methanophagales virus PBV300	PBV300		OP413840		Complete genome	dsDNA	archaea
30	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus PFV1	E	Pyrobaculum filamentous virus 1	PFV1		KU307456	NC_029548	Complete genome	dsDNA	archaea
31	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus PFV2	E	Pyrobaculum filamentous virus 2	PFV2		MN876844		Complete genome	dsDNA	archaea
32	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Betatristromavirus		Betatristromavirus TTV1	E	Thermoproteus tenax virus 1	TTV1	KRA1	X14855	NC_038931	Partial genome	dsDNA	archaea
33	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo1	E	Lucké tumor herpesvirus; ranid herpesvirus 1	LTHV; RaHV1	McKinnell	DQ665917	NC_008211	Complete genome	dsDNA	vertebrates
34	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo2	E	frog virus 4; ranid herpesvirus 2	FV4; RaHV2	Rafferty	DQ665652	NC_008210	Complete genome	dsDNA	vertebrates
35	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo3	E	ranid herpesvirus 3	RaHV3	FO1_2015	KX832224	NC_034618	Complete genome	dsDNA	vertebrates
36	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus anguillidallo1	E	Japanese eel herpesvirus; anguillid herpesvirus 1	AngHV1	500138	FJ940765	NC_013668	Complete genome	dsDNA	vertebrates
37	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo1	E	carp pox herpesvirus; cyprinid herpesvirus 1	CyHV1	NG-J1	JQ815363	NC_019491	Complete genome	dsDNA	vertebrates
38	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo2	E	goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2	CyHV2	ST-J1	JQ815364	NC_019495	Complete genome	dsDNA	vertebrates
39	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo3	E	koi herpesvirus; cyprinid herpesvirus 3	KHV; CyHV3	KHV-U	DQ657948	NC_009127	Complete genome	dsDNA	vertebrates
40	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus acipenseridallo2	E	white sturgeon herpesvirus 2; acipenserid herpesvirus 2	AciHV2	SRWSHV	FJ815289	NC_043042	Partial genome	dsDNA	vertebrates
41	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo1	E	channel catfish virus; ictalurid herpesvirus 1	CCV; IcHV1	Auburn 1	M75136	NC_001493	Complete genome	dsDNA	vertebrates
42	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo2	E	black bullhead herpesvirus; ictalurid herpesvirus 2	IcHV2	760/94	MG271984	NC_036579	Complete genome	dsDNA	vertebrates
43	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo1	E	herpesvirus salmonis; salmonid herpesvirus 1	SalHV1	Winthrop	AF023673	NC_043043	Partial genome	dsDNA	vertebrates
44	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo2	E	Oncorhyncus masou herpesvirus; salmonid herpesvirus 2	SalHV2	NeVTA	EU349274		Partial genome	dsDNA	vertebrates
45	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo3	E	epizootic epitheliotropic disease virus; salmonid herpesvirus 3	SalHV3	Wisconsin epidemic	EU349277	NC_043468	Partial genome	dsDNA	vertebrates
46	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Aurivirus		Aurivirus haliotidmalaco1	E	abalone herpesvirus; haliotid herpesvirus 1	AbHV1; HaHV1	Victoria/AUS/2009	JX453331	NC_018874	Complete genome	dsDNA	vertebrates
47	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Ostreavirus		Ostreavirus ostreidmalaco1	E	oyster herpesvirus; ostreid herpesvirus 1	OHV; OsHV1		AY509253	NC_005881	Complete genome	dsDNA	vertebrates
48	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus cacatuidalpha2	E	cacatuid alphaherpesvirus 2	CcAHV2	CaHV2/Melbourne/2015	MK360902		Complete genome	dsDNA	vertebrates
49	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus gallidalpha1	E	gallid alphaherpesvirus 1; infectious laryngotracheitis virus	GaAHV1; ILTV	SA2	JN596962		Complete genome	dsDNA	vertebrates
50	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus psittacidalpha1	E	psittacid alphaherpesvirus 1; Pacheco's disease virus	PsAHV1; PDV	97-0001	AY372243	NC_005264	Complete genome	dsDNA	vertebrates
51	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus psittacidalpha5	E	psittacid alphaherpesvirus 5	PsAHV5	16-4047	MK955929		Complete genome	dsDNA	vertebrates
52	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus anatidalpha1	E	anatid alphaherpesvirus 1; duck enteritis virus	AnAHV1; DEV	2085	JF999965		Complete genome	dsDNA	vertebrates
53	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus columbidalpha1	E	columbid alphaherpesvirus 1; pigeon herpesvirus	CoAHV1; PHV	HLJ	KX589235	NC_034266	Complete genome	dsDNA	vertebrates
54	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus gallidalpha2	E	gallid alphaherpesvirus 2; Marek's disease virus	GaAHV2; MDV	Md5	AF243438	NC_002229	Complete genome	dsDNA	vertebrates
55	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus gallidalpha3	E	gallid alphaherpesvirus 3; gallid herpesvirus 3	GaAHV3	SB-1	HQ840738		Complete genome	dsDNA	vertebrates
56	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus meleagridalpha1	E	meleagrid alphaherpesvirus 1; turkey herpesvirus	MeAHV1; HVT	FC-126 (Burmenester)	AF291866	NC_002641	Complete genome	dsDNA	vertebrates
57	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus spheniscidalpha1	E	spheniscid alphaherpesvirus 1	SpAHV1	lib01004	LT608135	NC_033464	Complete genome	dsDNA	vertebrates
58	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Scutavirus		Scutavirus chelonidalpha5	E	chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus	ChAHV5; FPTHV	CH-651-60O9	HQ878327		Partial genome	dsDNA	vertebrates
59	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Scutavirus		Scutavirus testudinidalpha3	E	testudinid alphaherpesvirus 3; testudinid herpesvirus 3	TeAHV3; TeHV3	1976	KM924292	NC_027916	Complete genome	dsDNA	vertebrates
60	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus atelinealpha1	E	ateline alphaherpesvirus 1; herpesvirus ateles 1	AtAHV1; HVA1	Lennette	KY385637	NC_034446	Complete genome	dsDNA	vertebrates
61	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus bovinealpha2	E	bovine alphaherpesvirus 2; bovine mammillitis virus	BoAHV2; BMV	C1Z FZR	MT862163		Complete genome	dsDNA	vertebrates
62	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus cercopithecinealpha2	E	cercopithecine alphaherpesvirus 2; simian agent 8	CeAHV2; SA8	B264	AY714813	NC_006560	Complete genome	dsDNA	vertebrates
63	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus humanalpha1	E	human alphaherpesvirus 1; herpes simplex virus type 1	HuAHV1; HSV1	17	JN555585	NC_001806	Complete genome	dsDNA	vertebrates
64	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus humanalpha2	E	human alphaherpesvirus 2; herpes simplex virus type 2	HuAHV2; HSV2	HG52	JN561323	NC_001798	Complete genome	dsDNA	vertebrates
65	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus leporidalpha4	E	leporid alphaherpesvirus 4; leporid herpesvirus 4	LeAHV4; LHV4	LHV4012612	JQ596859	NC_029311	Complete genome	dsDNA	vertebrates
66	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macacinealpha1	E	macacine alphaherpesvirus 1; B-virus	McAHV1; BV	E2490	AF533768	NC_004812	Complete genome	dsDNA	vertebrates
67	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macacinealpha2	E	macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1	McAHV2	8100812	KY628968		Complete genome	dsDNA	vertebrates
68	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macacinealpha3	E	macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1	McAHV3	KQ	KY628970		Complete genome	dsDNA	vertebrates
69	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macropodidalpha1	E	macropodid alphaherpesvirus 1; Parma wallaby herpesvirus	MaAHV1	MaHV1.3076/08	KT594769	NC_029132	Complete genome	dsDNA	vertebrates
70	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macropodidalpha2	E	macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus	MaAHV2	V3077/08	MT900475		Complete genome	dsDNA	vertebrates
71	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macropodidalpha4	E	macropodid alphaherpesvirus 4	MaAHV4	V3116/09	MT900474		Complete genome	dsDNA	vertebrates
