"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX17380352","shotgun metagenomic sequencing of university campus sewer: HAL_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939530","","513.35","1","5237383","1581689666","HAL_20","WGS","METAGENOMIC","RANDOM"
"SRX17380351","shotgun metagenomic sequencing of university campus sewer: HAL_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939529","","487.19","1","5132252","1549940104","HAL_17","WGS","METAGENOMIC","RANDOM"
"SRX17380350","shotgun metagenomic sequencing of university campus sewer: HAL_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939528","","269.19","1","2753702","831618004","HAL_15","WGS","METAGENOMIC","RANDOM"
"SRX17380349","shotgun metagenomic sequencing of university campus sewer: HAL_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939527","","453.41","1","4775711","1442264722","HAL_13","WGS","METAGENOMIC","RANDOM"
"SRX17380348","shotgun metagenomic sequencing of university campus sewer: HAL_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939526","","513.23","1","5578758","1684784916","HAL_12","WGS","METAGENOMIC","RANDOM"
"SRX17380347","shotgun metagenomic sequencing of university campus sewer: HAL_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939525","","569.86","1","6171405","1863764310","HAL_10","WGS","METAGENOMIC","RANDOM"
"SRX17380346","shotgun metagenomic sequencing of university campus sewer: FAR_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939524","","574.38","1","6111742","1845746084","FAR_8","WGS","METAGENOMIC","RANDOM"
"SRX17380345","shotgun metagenomic sequencing of university campus sewer: FAR_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939523","","508","1","5422779","1637679258","FAR_6","WGS","METAGENOMIC","RANDOM"
"SRX17380344","shotgun metagenomic sequencing of university campus sewer: FAR_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939522","","607.36","1","6658763","2010946426","FAR_5","WGS","METAGENOMIC","RANDOM"
"SRX17380343","shotgun metagenomic sequencing of university campus sewer: FAR_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939521","","901.78","1","10014138","3024269676","FAR_3","WGS","METAGENOMIC","RANDOM"
"SRX17380342","shotgun metagenomic sequencing of university campus sewer: BAK_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939520","","428.61","1","4617469","1394475638","BAK_6","WGS","METAGENOMIC","RANDOM"
"SRX17380341","shotgun metagenomic sequencing of university campus sewer: FAR_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939519","","885.56","1","9794140","2957830280","FAR_20","WGS","METAGENOMIC","RANDOM"
"SRX17380340","shotgun metagenomic sequencing of university campus sewer: FAR_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939518","","582.59","1","6418840","1938489680","FAR_1","WGS","METAGENOMIC","RANDOM"
"SRX17380339","shotgun metagenomic sequencing of university campus sewer: FAR_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939517","","529.53","1","5452417","1646629934","FAR_19","WGS","METAGENOMIC","RANDOM"
"SRX17380338","shotgun metagenomic sequencing of university campus sewer: FAR_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939516","","692.96","1","6970225","2105007950","FAR_17","WGS","METAGENOMIC","RANDOM"
"SRX17380337","shotgun metagenomic sequencing of university campus sewer: FAR_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939515","","913.23","1","10133763","3060396426","FAR_15","WGS","METAGENOMIC","RANDOM"
"SRX17380336","shotgun metagenomic sequencing of university campus sewer: FAR_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939514","","527.44","1","5563161","1680074622","FAR_13","WGS","METAGENOMIC","RANDOM"
"SRX17380335","shotgun metagenomic sequencing of university campus sewer: WIL_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939513","","555.83","1","6023704","1819158608","WIL_8","WGS","METAGENOMIC","RANDOM"
"SRX17380334","shotgun metagenomic sequencing of university campus sewer: WIL_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939512","","644.66","1","7007573","2116287046","WIL_6","WGS","METAGENOMIC","RANDOM"
"SRX17380333","shotgun metagenomic sequencing of university campus sewer: WIL_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939511","","590.68","1","6211155","1875768810","WIL_5","WGS","METAGENOMIC","RANDOM"
"SRX17380332","shotgun metagenomic sequencing of university campus sewer: WIL_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939510","","664.28","1","7162566","2163094932","WIL_3","WGS","METAGENOMIC","RANDOM"
"SRX17380331","shotgun metagenomic sequencing of university campus sewer: WIL_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939509","","201.51","1","2083383","629181666","WIL_20","WGS","METAGENOMIC","RANDOM"
"SRX17380330","shotgun metagenomic sequencing of university campus sewer: WIL_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939508","","354.73","1","3758480","1135060960","WIL_19","WGS","METAGENOMIC","RANDOM"
"SRX17380329","shotgun metagenomic sequencing of university campus sewer: WIL_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939506","","544.49","1","5798112","1751029824","WIL_17","WGS","METAGENOMIC","RANDOM"
"SRX17380328","shotgun metagenomic sequencing of university campus sewer: WIL_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939507","","425.32","1","4559194","1376876588","WIL_15","WGS","METAGENOMIC","RANDOM"
"SRX17380327","shotgun metagenomic sequencing of university campus sewer: BAS_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939504","","555.56","1","6045872","1825853344","BAS_20","WGS","METAGENOMIC","RANDOM"
"SRX17380326","shotgun metagenomic sequencing of university campus sewer: WIL_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939505","","427.54","1","4195758","1267118916","WIL_13","WGS","METAGENOMIC","RANDOM"
"SRX17380325","shotgun metagenomic sequencing of university campus sewer: WIL_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939503","","359.62","1","3744278","1130771956","WIL_12","WGS","METAGENOMIC","RANDOM"
"SRX17380324","shotgun metagenomic sequencing of university campus sewer: WIL_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939502","","396.08","1","4152132","1253943864","WIL_10","WGS","METAGENOMIC","RANDOM"
"SRX17380323","shotgun metagenomic sequencing of university campus sewer: WEB_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939501","","743.98","1","8132396","2455983592","WEB_8","WGS","METAGENOMIC","RANDOM"
"SRX17380322","shotgun metagenomic sequencing of university campus sewer: WEB_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939499","","639.31","1","6823487","2060693074","WEB_6","WGS","METAGENOMIC","RANDOM"
"SRX17380321","shotgun metagenomic sequencing of university campus sewer: WEB_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939500","","465.84","1","4898155","1479242810","WEB_5","WGS","METAGENOMIC","RANDOM"
"SRX17380320","shotgun metagenomic sequencing of university campus sewer: WEB_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939498","","489.9","1","5063085","1529051670","WEB_3","WGS","METAGENOMIC","RANDOM"
"SRX17380319","shotgun metagenomic sequencing of university campus sewer: WEB_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939497","","165.24","1","1710515","516575530","WEB_20","WGS","METAGENOMIC","RANDOM"
"SRX17380318","shotgun metagenomic sequencing of university campus sewer: WEB_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939496","","233.26","1","2470071","745961442","WEB_1","WGS","METAGENOMIC","RANDOM"
"SRX17380317","shotgun metagenomic sequencing of university campus sewer: WEB_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939495","","334.77","1","3545584","1070766368","WEB_19","WGS","METAGENOMIC","RANDOM"
"SRX17380316","shotgun metagenomic sequencing of university campus sewer: BAS_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939494","","735.37","1","8032369","2425775438","BAS_1","WGS","METAGENOMIC","RANDOM"
"SRX17380315","shotgun metagenomic sequencing of university campus sewer: WEB_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939492","","448.89","1","4610426","1392348652","WEB_17","WGS","METAGENOMIC","RANDOM"
"SRX17380314","shotgun metagenomic sequencing of university campus sewer: WEB_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939493","","172.91","1","1812177","547277454","WEB_15","WGS","METAGENOMIC","RANDOM"
"SRX17380313","shotgun metagenomic sequencing of university campus sewer: WEB_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939491","","369.54","1","3977803","1201296506","WEB_13","WGS","METAGENOMIC","RANDOM"
"SRX17380312","shotgun metagenomic sequencing of university campus sewer: WEB_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939490","","360.94","1","3775959","1140339618","WEB_12","WGS","METAGENOMIC","RANDOM"
"SRX17380311","shotgun metagenomic sequencing of university campus sewer: BAK_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939489","","273.85","1","2854362","862017324","BAK_17","WGS","METAGENOMIC","RANDOM"
"SRX17380310","shotgun metagenomic sequencing of university campus sewer: CHE_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939488","","375.57","1","3990643","1205174186","CHE_17","WGS","METAGENOMIC","RANDOM"
"SRX17380309","shotgun metagenomic sequencing of university campus sewer: CHE_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939487","","354.92","1","3777950","1140940900","CHE_15","WGS","METAGENOMIC","RANDOM"
"SRX17380308","shotgun metagenomic sequencing of university campus sewer: CHE_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939486","","368.34","1","3931455","1187299410","CHE_13","WGS","METAGENOMIC","RANDOM"
"SRX17380307","shotgun metagenomic sequencing of university campus sewer: CHE_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939485","","629.65","1","6101481","1842647262","CHE_12","WGS","METAGENOMIC","RANDOM"
"SRX17380306","shotgun metagenomic sequencing of university campus sewer: CHE_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939484","","700.65","1","7556878","2282177156","CHE_10","WGS","METAGENOMIC","RANDOM"
"SRX17380305","shotgun metagenomic sequencing of university campus sewer: BRA_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939483","","522.2","1","5636863","1702332626","BRA_8","WGS","METAGENOMIC","RANDOM"
"SRX17380304","shotgun metagenomic sequencing of university campus sewer: BRA_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939482","","613.6","1","6527434","1971285068","BRA_6","WGS","METAGENOMIC","RANDOM"
"SRX17380303","shotgun metagenomic sequencing of university campus sewer: BRA_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939481","","609.76","1","6328706","1911269212","BRA_5","WGS","METAGENOMIC","RANDOM"
"SRX17380302","shotgun metagenomic sequencing of university campus sewer: BRA_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939480","","604.95","1","6547245","1977267990","BRA_3","WGS","METAGENOMIC","RANDOM"
