+access,+submission_date,+accession,+publication_date,+last_update,Sample name,SRA identifier,Bioproject identifier,altitude,env_feature,collection_date,sample number,sample_type,env_biome,lat_lon,geo_loc_name,isolation source,host,env_material
public,2018-06-19T10:53:09.343,SAMN09454491,2018-09-20T12:37:48.983,2018-09-20T12:37:48.983,chaoexpo19_I5,SRS3435432,PRJNA421162,missing,missing,missing,28,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.330,SAMN09454490,2018-09-20T12:37:48.983,2018-09-20T12:37:48.983,chaoexpo17_I5,SRS3435433,PRJNA421162,missing,missing,missing,27,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.313,SAMN09454489,2018-09-20T12:37:48.970,2018-09-20T12:37:48.970,chaoexpo15_I5,SRS3435434,PRJNA421162,missing,missing,missing,26,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.297,SAMN09454488,2018-09-20T12:37:48.953,2018-09-20T12:37:48.953,chaoexpo13_I5,SRS3435435,PRJNA421162,missing,missing,missing,25,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.283,SAMN09454487,2018-09-20T12:37:48.937,2018-09-20T12:37:48.937,chaoexpo11_I5,SRS3435428,PRJNA421162,missing,missing,missing,24,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.267,SAMN09454486,2018-09-20T12:37:48.920,2018-09-20T12:37:48.920,chaoexpo09_I5,SRS3435429,PRJNA421162,missing,missing,missing,23,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.250,SAMN09454485,2018-09-20T12:37:48.907,2018-09-20T12:37:48.907,chaoexpo07_I5,SRS3435430,PRJNA421162,missing,missing,missing,22,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.237,SAMN09454484,2018-09-20T12:37:48.890,2018-09-20T12:37:48.890,chaoexpo05_I5,SRS3435431,PRJNA421162,missing,missing,missing,21,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.220,SAMN09454483,2018-09-20T12:37:48.873,2018-09-20T12:37:48.873,chaoexpo03_I5,SRS3435437,PRJNA421162,missing,missing,missing,20,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.207,SAMN09454482,2018-09-20T12:37:48.873,2018-09-20T12:37:48.873,chaoexpo01_I5,SRS3435436,PRJNA421162,missing,missing,missing,19,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.190,SAMN09454481,2018-09-20T12:37:48.860,2018-09-20T12:37:48.860,chaoexpo74_I5,SRS3435439,PRJNA421162,missing,missing,missing,18,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.173,SAMN09454480,2018-09-20T12:37:48.843,2018-09-20T12:37:48.843,chaoexpo70_I5,SRS3435438,PRJNA421162,missing,missing,missing,17,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.157,SAMN09454479,2018-09-20T12:37:48.827,2018-09-20T12:37:48.827,chaoexpo66_I5,SRS3435440,PRJNA421162,missing,missing,missing,16,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.140,SAMN09454478,2018-09-20T12:37:48.810,2018-09-20T12:37:48.810,chaoexpo62_I5,SRS3435458,PRJNA421162,missing,missing,missing,15,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.127,SAMN09454477,2018-09-20T12:37:48.797,2018-09-20T12:37:48.797,chaoexpo57_I5,SRS3435442,PRJNA421162,missing,missing,missing,14,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.110,SAMN09454476,2018-09-20T12:37:48.780,2018-09-20T12:37:48.780,chaoexpo53_I5,SRS3435441,PRJNA421162,missing,missing,missing,13,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.093,SAMN09454475,2018-09-20T12:37:48.767,2018-09-20T12:37:48.767,chaoexpo49_I5,SRS3435444,PRJNA421162,missing,missing,missing,12,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.077,SAMN09454474,2018-09-20T12:37:48.750,2018-09-20T12:37:48.750,chaoexpo45_I5,SRS3435443,PRJNA421162,missing,missing,missing,11,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.063,SAMN09454473,2018-09-20T12:37:48.750,2018-09-20T12:37:48.750,chaoexpo41_I5,SRS3435419,PRJNA421162,missing,missing,missing,10,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.047,SAMN09454472,2018-09-20T12:37:48.733,2018-09-20T12:37:48.733,chaoexpo37_I5,SRS3435418,PRJNA421162,missing,missing,missing,9,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.030,SAMN09454471,2018-09-20T12:37:48.720,2018-09-20T12:37:48.720,chaoexpo35_I5,SRS3435423,PRJNA421162,missing,missing,missing,8,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.013,SAMN09454470,2018-09-20T12:37:48.703,2018-09-20T12:37:48.703,chaoexpo33_I5,SRS3435422,PRJNA421162,missing,missing,missing,7,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:09.000,SAMN09454469,2018-09-20T12:37:48.687,2018-09-20T12:37:48.687,chaoexpo31_I5,SRS3435420,PRJNA421162,missing,missing,missing,6,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:08.980,SAMN09454468,2018-09-20T12:37:48.670,2018-09-20T12:37:48.670,chaoexpo29_I5,SRS3435421,PRJNA421162,missing,missing,missing,5,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:08.967,SAMN09454467,2018-09-20T12:37:48.657,2018-09-20T12:37:48.657,chaoexpo27_I5,SRS3435427,PRJNA421162,missing,missing,missing,4,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:08.950,SAMN09454466,2018-09-20T12:37:48.640,2018-09-20T12:37:48.640,chaoexpo25_I5,SRS3435426,PRJNA421162,missing,missing,missing,3,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:08.933,SAMN09454465,2018-09-20T12:37:48.623,2018-09-20T12:37:48.623,chaoexpo23_I5,SRS3435425,PRJNA421162,missing,missing,missing,2,DNA,missing,missing,missing,control,missing,missing
public,2018-06-19T10:53:08.907,SAMN09454464,2018-09-20T12:37:48.610,2018-09-20T12:37:48.610,chaoexpo21_I5,SRS3435424,PRJNA421162,missing,missing,missing,1,DNA,missing,missing,missing,control,missing,missing
public,2017-12-20T15:50:17.536,SAMN08216256,2018-09-20T00:00:00.000,2021-02-28T05:15:18.449,xinexpo67_I5,SRS2776369,PRJNA421162,51,air filter,2017-02-02,566,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.523,SAMN08216255,2018-09-20T00:00:00.000,2021-02-28T05:15:18.429,xinexpo67_I6,SRS2776366,PRJNA421162,5,air filter,2017-01-27,565,RNA,air filter,29.272251 N 94.818915 W,USA:texas,Galveston,missing,missing,air
public,2017-12-20T15:50:17.506,SAMN08216254,2018-09-20T00:00:00.000,2021-02-28T05:15:18.408,xinexpo67_I15,SRS2776373,PRJNA421162,51,air filter,2017-01-24,564,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.493,SAMN08216253,2018-09-20T00:00:00.000,2021-02-28T05:15:18.387,xinexpo66_I15,SRS2776374,PRJNA421162,29,air filter,2017-01-25,563,RNA,air filter,37.4323403 N 122.17595 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.480,SAMN08216252,2018-09-20T00:00:00.000,2021-02-28T05:15:18.365,xinexpo67_I12,SRS2776372,PRJNA421162,27,air filter,2017-01-21,562,RNA,air filter,37.838438 N 122.47933 W,USA:california,San Francisco,missing,missing,air
public,2017-12-20T15:50:17.463,SAMN08216251,2018-09-20T00:00:00.000,2021-02-28T05:15:18.344,xinexpo66_I12,SRS2776371,PRJNA421162,76,air filter,2017-01-02,561,RNA,air filter,40.24783815 N 75.58747128 W,USA:pennsylvania,West Hartford,missing,missing,air
public,2017-12-20T15:50:17.450,SAMN08216250,2018-09-20T00:00:00.000,2021-02-28T05:15:18.321,xinexpo78_I15,SRS2776551,PRJNA421162,486,air filter,2017-01-01,560,RNA,air filter,30.572815 N 104.066801 E,China:NA,Chengdu,missing,missing,air
public,2017-12-20T15:50:17.436,SAMN08216249,2018-09-20T00:00:00.000,2021-02-28T05:15:18.298,xinexpo61_I15,SRS2776550,PRJNA421162,51,air filter,2016-12-22,559,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.420,SAMN08216248,2018-09-20T00:00:00.000,2021-02-28T05:15:18.276,xinexpo61_I12,SRS2776549,PRJNA421162,17,air filter,2016-12-21,558,RNA,air filter,37.5482697 N 121.988572 W,USA:california,Fremont,missing,missing,air
public,2017-12-20T15:50:17.406,SAMN08216247,2018-09-20T00:00:00.000,2021-02-28T05:15:18.255,xinexpo61_I6,SRS2776546,PRJNA421162,72,air filter,2016-12-20,557,RNA,air filter,37.3229978 N 122.032183 W,USA:california,Cupertino,missing,missing,air
public,2017-12-20T15:50:17.393,SAMN08216246,2018-09-20T00:00:00.000,2021-02-28T05:15:18.234,xinexpo61_I5,SRS2776548,PRJNA421162,5,air filter,2016-12-21,556,RNA,air filter,37.7649039 N 122.390318 W,USA:california,San Francisco,missing,missing,air
public,2017-12-20T15:50:17.376,SAMN08216245,2018-09-20T00:00:00.000,2021-02-28T05:15:18.212,xinexpo60_I15,SRS2776547,PRJNA421162,14,air filter,2016-12-20,555,RNA,air filter,37.5629917 N 122.3255254 W,USA:california,San Mateo,missing,missing,air
public,2017-12-20T15:50:17.363,SAMN08216244,2018-09-20T00:00:00.000,2021-02-28T05:15:18.191,xinexpo66_I6,SRS2776545,PRJNA421162,266,air filter,2016-12-17,554,RNA,air filter,28.538634 N 77.151574 E,India:NA,New Delhi,missing,missing,air
public,2017-12-20T15:50:17.350,SAMN08216243,2018-09-20T00:00:00.000,2021-02-28T05:15:18.169,xinexpo60_I12,SRS2776544,PRJNA421162,17,air filter,2016-12-14,553,RNA,air filter,37.5482697 N 121.988572 W,USA:california,Fremont,missing,missing,air
public,2017-12-20T15:50:17.333,SAMN08216242,2018-09-20T00:00:00.000,2021-02-28T05:15:18.146,xinexpo60_I6,SRS2776543,PRJNA421162,72,air filter,2016-12-14,552,RNA,air filter,37.3229978 N 122.032183 W,USA:california,Cupertino,missing,missing,air
public,2017-12-20T15:50:17.320,SAMN08216241,2018-09-20T00:00:00.000,2021-02-28T05:15:18.123,xinexpo59_I12,SRS2776542,PRJNA421162,5,air filter,2016-12-12,551,RNA,air filter,37.7649039 N 122.390318 W,USA:california,San Francisco,missing,missing,air
public,2017-12-20T15:50:17.303,SAMN08216240,2018-09-20T00:00:00.000,2021-02-28T05:15:18.101,xinexpo60_I5,SRS2776266,PRJNA421162,26,air filter,2016-12-09,550,RNA,air filter,38.910689 N 77.045964 W,USA:district of columbia,Washington,missing,missing,air
public,2017-12-20T15:50:17.290,SAMN08216239,2018-09-20T00:00:00.000,2021-02-28T05:15:18.078,xinexpo59_I6,SRS2776264,PRJNA421162,13,air filter,2016-12-11,549,RNA,air filter,40.7127837 N 74.0059413 W,USA:NA,New York City,missing,missing,air
public,2017-12-20T15:50:17.273,SAMN08216238,2018-09-20T00:00:00.000,2021-02-28T05:15:18.055,xinexpo59_I15,SRS2776718,PRJNA421162,51,air filter,2016-12-07,548,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.260,SAMN08216237,2018-09-20T00:00:00.000,2021-02-28T05:15:18.031,xinexpo58_I12,SRS2776721,PRJNA421162,17,air filter,2016-12-07,547,RNA,air filter,37.5482697 N 121.988572 W,USA:california,Fremont,missing,missing,air
public,2017-12-20T15:50:17.246,SAMN08216236,2018-09-20T00:00:00.000,2021-02-28T05:15:17.989,xinexpo59_I5,SRS2776722,PRJNA421162,51,air filter,2016-12-05,546,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.233,SAMN08216235,2018-09-20T00:00:00.000,2021-02-28T05:15:17.968,xinexpo58_I15,SRS2776720,PRJNA421162,14,air filter,2016-12-05,545,RNA,air filter,37.5629917 N 122.3255254 W,USA:california,San Mateo,missing,missing,air
public,2017-12-20T15:50:17.216,SAMN08216234,2018-09-20T00:00:00.000,2021-02-28T05:15:17.941,xinexpo58_I6,SRS2776267,PRJNA421162,72,air filter,2016-12-06,544,RNA,air filter,37.3229978 N 122.032183 W,USA:california,Cupertino,missing,missing,air
