Experiment Accession	Experiment Title	Organism Name	Instrument	Submitter	Study Accession	Study Title	Sample Accession	Sample Title	Total Size, Mb	Total RUNs	Total Spots	Total Bases	Library Name	Library Strategy	Library Source	Library Selection	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryLayout	InsertSize	InsertDev	Platform	BioProject	Study_Pubmed_id	ProjectID	BioSample	SampleType	TaxID	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	+access	+submission_date	+publication_date	+last_update	altitude	env_feature	collection_date	sample number	sample_type	env_biome	lat_lon	geo_loc_name	isolation source	host	env_material
SRX4238423	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435432		4822.77	1	46176374	12877784564	chaoexpo19_I5	WGS	METAGENOMIC	MDA	SRR7365471	2018-09-20 00:09:52	2018-06-19 14:25:42	46176374	12877784564	46176374	278	4822	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365471.sralite.1	chaoexpo19_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454491	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	82BF5E49C9DB946D6BA556F89161CC6C	381FFE40466A1EA3BFFC315C0A797A9F	public	2018-06-19T10:53:09.343	2018-09-20T12:37:48.983	2018-09-20T12:37:48.983	missing	missing	missing	28	DNA	missing	missing	missing	control	missing	missing
SRX4238424	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435433		6447.69	1	55730009	16039707851	chaoexpo17_I5	WGS	METAGENOMIC	MDA	SRR7365470	2018-09-20 00:09:52	2018-06-19 14:53:31	55730009	16039707851	55730009	287	6447	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365470.sralite.1	chaoexpo17_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454490	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	E789F9EB4E02FF8224BA6AE9228C5E90	1312A9E14C8D9EF31F7893B221D0BE9B	public	2018-06-19T10:53:09.330	2018-09-20T12:37:48.983	2018-09-20T12:37:48.983	missing	missing	missing	27	DNA	missing	missing	missing	control	missing	missing
SRX4238425	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435434		3443.32	1	25661135	7583662848	chaoexpo15_I5	WGS	METAGENOMIC	MDA	SRR7365469	2018-09-20 00:09:52	2018-06-19 14:18:42	25661135	7583662848	25661135	295	3443	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365469.sralite.1	chaoexpo15_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454489	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	79D4C8FA9F3CD49B6B62734AFCF7AF37	F247BC77648906FE7F1157794E431166	public	2018-06-19T10:53:09.313	2018-09-20T12:37:48.970	2018-09-20T12:37:48.970	missing	missing	missing	26	DNA	missing	missing	missing	control	missing	missing
SRX4238426	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435435		2895.37	1	21510103	6242519172	chaoexpo13_I5	WGS	METAGENOMIC	MDA	SRR7365468	2018-09-20 00:09:52	2018-06-19 13:55:38	21510103	6242519172	21510103	290	2895	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365468.sralite.1	chaoexpo13_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454488	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	1326337B87397081C6301C9846EDE428	36DC1FF0B1E70FB16923EFDA0D0AB7D5	public	2018-06-19T10:53:09.297	2018-09-20T12:37:48.953	2018-09-20T12:37:48.953	missing	missing	missing	25	DNA	missing	missing	missing	control	missing	missing
SRX4238419	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435428		6042.09	1	52698564	15111036114	chaoexpo11_I5	WGS	METAGENOMIC	MDA	SRR7365475	2018-09-20 00:09:52	2018-06-19 14:36:54	52698564	15111036114	52698564	286	6042	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365475.sralite.1	chaoexpo11_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454487	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	B3535A0BC456298DC5AC734E1478A16D	D2059DA01AE4484F019D91BBCB8E092F	public	2018-06-19T10:53:09.283	2018-09-20T12:37:48.937	2018-09-20T12:37:48.937	missing	missing	missing	24	DNA	missing	missing	missing	control	missing	missing
SRX4238420	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435429		5956.18	1	57102376	16123436172	chaoexpo09_I5	WGS	METAGENOMIC	MDA	SRR7365474	2018-09-20 00:09:52	2018-06-19 14:24:24	57102376	16123436172	57102376	282	5956	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365474.sralite.1	chaoexpo09_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454486	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	BC9DC2EC7134DEB0AF01A012AD62D9CF	6DC0511D0D462824BE3383035320CFC0	public	2018-06-19T10:53:09.267	2018-09-20T12:37:48.920	2018-09-20T12:37:48.920	missing	missing	missing	23	DNA	missing	missing	missing	control	missing	missing
SRX4238421	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435430		3599.76	1	40653167	11781067247	chaoexpo07_I5	WGS	METAGENOMIC	MDA	SRR7365473	2018-09-20 00:09:52	2018-06-19 15:34:47	40653167	11781067247	40653167	289	3599	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365473.sralite.1	chaoexpo07_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454485	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	07C1CF451BEAA0180775F68CBF7849D2	C778EC621546FA2959006BFB834D1BF8	public	2018-06-19T10:53:09.250	2018-09-20T12:37:48.907	2018-09-20T12:37:48.907	missing	missing	missing	22	DNA	missing	missing	missing	control	missing	missing
SRX4238422	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435431		1623.7	1	15573248	4525788163	chaoexpo05_I5	WGS	METAGENOMIC	MDA	SRR7365472	2018-09-20 00:09:52	2018-06-19 13:50:19	15573248	4525788163	15573248	290	1623	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365472.sralite.1	chaoexpo05_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454484	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	CAC5D9D86EF811E973546034A841FD1D	FA17AE86C1115773B499049F26FB1912	public	2018-06-19T10:53:09.237	2018-09-20T12:37:48.890	2018-09-20T12:37:48.890	missing	missing	missing	21	DNA	missing	missing	missing	control	missing	missing
SRX4238428	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435437		4279.61	1	43606564	12174649939	chaoexpo03_I5	WGS	METAGENOMIC	MDA	SRR7365466	2018-09-20 00:09:52	2018-06-19 14:27:35	43606564	12174649939	43606564	279	4279	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/365/SRR7365466.sralite.1	chaoexpo03_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454483	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	755D55EB4685FB9F43CF2687CCB917C7	95296ADE6A3DFCDFDA08BC5D63206A9F	public	2018-06-19T10:53:09.220	2018-09-20T12:37:48.873	2018-09-20T12:37:48.873	missing	missing	missing	20	DNA	missing	missing	missing	control	missing	missing
SRX4238427	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435436		3018.79	1	42394156	12547372884	chaoexpo01_I5	WGS	METAGENOMIC	MDA	SRR7365467	2018-09-20 00:09:52	2018-06-19 14:27:01	42394156	12547372884	42394156	295	3018	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365467.sralite.1	chaoexpo01_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454482	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	0EB042A2417A66D7D4386E13ECE7C227	E593D63B10EE4CBADB7910CEFC967F4F	public	2018-06-19T10:53:09.207	2018-09-20T12:37:48.873	2018-09-20T12:37:48.873	missing	missing	missing	19	DNA	missing	missing	missing	control	missing	missing
