"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4238436","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435444","","6128.38","1","59529582","17471092220","chaoexpo49_I5","WGS","METAGENOMIC","MDA"
"SRX4238435","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435443","","110.41","1","972781","281721946","chaoexpo45_I5","WGS","METAGENOMIC","MDA"
"SRX4238434","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435442","","5939.45","1","46382285","13362701315","chaoexpo57_I5","WGS","METAGENOMIC","MDA"
"SRX4238433","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435441","","7505.34","1","75488734","22037194319","chaoexpo53_I5","WGS","METAGENOMIC","MDA"
"SRX4238432","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435440","","5278.46","1","61174379","17779861944","chaoexpo66_I5","WGS","METAGENOMIC","MDA"
"SRX4238431","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435458","","4992.51","1","60172378","17577072161","chaoexpo62_I5","WGS","METAGENOMIC","MDA"
"SRX4238430","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435439","","2868.38","1","30025730","8548952999","chaoexpo74_I5","WGS","METAGENOMIC","MDA"
"SRX4238429","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435438","","12397.13","1","97220863","28455885463","chaoexpo70_I5","WGS","METAGENOMIC","MDA"
"SRX4238428","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435437","","4279.61","1","43606564","12174649939","chaoexpo03_I5","WGS","METAGENOMIC","MDA"
"SRX4238427","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435436","","3018.79","1","42394156","12547372884","chaoexpo01_I5","WGS","METAGENOMIC","MDA"
"SRX4238426","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435435","","2895.37","1","21510103","6242519172","chaoexpo13_I5","WGS","METAGENOMIC","MDA"
"SRX4238425","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435434","","3443.32","1","25661135","7583662848","chaoexpo15_I5","WGS","METAGENOMIC","MDA"
"SRX4238424","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435433","","6447.69","1","55730009","16039707851","chaoexpo17_I5","WGS","METAGENOMIC","MDA"
"SRX4238423","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435432","","4822.77","1","46176374","12877784564","chaoexpo19_I5","WGS","METAGENOMIC","MDA"
"SRX4238422","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435431","","1623.7","1","15573248","4525788163","chaoexpo05_I5","WGS","METAGENOMIC","MDA"
"SRX4238421","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435430","","3599.76","1","40653167","11781067247","chaoexpo07_I5","WGS","METAGENOMIC","MDA"
"SRX4238420","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435429","","5956.18","1","57102376","16123436172","chaoexpo09_I5","WGS","METAGENOMIC","MDA"
"SRX4238419","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435428","","6042.09","1","52698564","15111036114","chaoexpo11_I5","WGS","METAGENOMIC","MDA"
"SRX4238418","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435427","","1967.32","1","21803325","6418430268","chaoexpo27_I5","WGS","METAGENOMIC","MDA"
"SRX4238417","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435426","","4803.14","1","58614986","17237960577","chaoexpo25_I5","WGS","METAGENOMIC","MDA"
"SRX4238416","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435425","","3985.98","1","49895065","14752439695","chaoexpo23_I5","WGS","METAGENOMIC","MDA"
"SRX4238415","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435424","","7298.67","1","69653711","18948930862","chaoexpo21_I5","WGS","METAGENOMIC","MDA"
"SRX4238414","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435423","","1985.08","1","22566843","6556451577","chaoexpo35_I5","WGS","METAGENOMIC","MDA"
"SRX4238413","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435422","","6452.25","1","64350942","18973893750","chaoexpo33_I5","WGS","METAGENOMIC","MDA"
"SRX4238412","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435420","","6390.46","1","55467899","16376709920","chaoexpo31_I5","WGS","METAGENOMIC","MDA"
"SRX4238411","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435421","","4014.83","1","49708787","14749943987","chaoexpo29_I5","WGS","METAGENOMIC","MDA"
"SRX4238410","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435419","","9355.62","1","102530764","30058126534","chaoexpo41_I5","WGS","METAGENOMIC","MDA"
"SRX4238409","DNA-seq of control samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS3435418","","7598.62","1","58574172","17117950655","chaoexpo37_I5","WGS","METAGENOMIC","MDA"
"SRX3493199","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776805","","9509.29","1","64912452","18309406079","xinexpo74_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493198","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776798","","7863.12","1","57985595","16946240307","xinexpo56_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493197","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776800","","5934.38","1","47042986","13981121542","xinexpo04_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493196","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776796","","8494.64","1","62197276","17854306294","xinexpo53_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493195","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776794","","5450.43","1","37595781","10518526992","xinexpo74_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493194","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776797","","5814.99","1","39426672","11345520913","xinexpo62_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493193","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776795","","6203.74","1","47801431","13945710584","xinexpo52_I5","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493192","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776793","","7617.64","1","56389006","15450864160","xinexpo75_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493191","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776792","","4895.78","1","38267494","11090195459","xinexpo11_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493190","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776791","","6272.54","1","51664820","15224594176","xinexpo07_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493189","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776790","","5519.91","1","45848185","13591111886","xinexpo10_I5","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493188","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776788","","4924.3","1","40587690","11839278151","xinexpo18_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493187","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776787","","6894.54","1","53962632","15920874387","xinexpo06_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493186","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776789","","4129.3","1","33483990","9776031737","xinexpo16_I6","WGS","METATRANSCRIPTOMIC","cDNA"
