"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3568613","Whitman soil sample_243_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129923","Soil microbial communities amended with fresh organic matter from upstate New York, USA - Whitman soil sample_243_MG metagenome","SRS2839676","","16121.73","1","115290230","34817649460","BNUXX","WGS","METAGENOMIC","RANDOM"
"SRX3568597","Whitman soil sample_247_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129910","Soil microbial communities amended with fresh organic matter from upstate New York, USA - Whitman soil sample_247_MG metagenome","SRS2839663","","16883.23","1","118268725","35717154950","BNUXZ","WGS","METAGENOMIC","RANDOM"
"SRX3568596","Whitman soil sample_246_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129909","Soil microbial communities amended with fresh organic matter from upstate New York, USA - Whitman soil sample_246_MG metagenome","SRS2839662","","19148.77","1","137488408","41521499216","BNUXY","WGS","METAGENOMIC","RANDOM"
"SRX3568533","Whitman soil sample_237_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129907","Soil microbial communities amended with pyrogenic organic matter from upstate New York, USA - Whitman soil sample_237_MG metagenome","SRS2839659","","17539.27","1","129755316","39186105432","BNUXU","WGS","METAGENOMIC","RANDOM"
"SRX3568470","Whitman soil sample_242_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129905","Soil microbial communities amended with fresh organic matter from upstate New York, USA - Whitman soil sample_242_MG metagenome","SRS2839656","","16492.4","1","122903530","37116866060","BNUXW","WGS","METAGENOMIC","RANDOM"
"SRX3566526","Whitman soil sample_217_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129870","Soil microbial communities amended with pyrogenic organic matter from upstate New York, USA - Whitman soil sample_217_MG metagenome","SRS2838555","","15568.24","1","113353439","34232738578","BNUXT","WGS","METAGENOMIC","RANDOM"
"SRX3566525","Whitman soil sample_207_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129869","Soil microbial communities amended with pyrogenic organic matter from upstate New York, USA - Whitman soil sample_207_MG metagenome","SRS2838554","","15695.78","1","97427171","29423005642","BNUXS","WGS","METAGENOMIC","RANDOM"
"SRX3566524","Whitman soil sample_221_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129868","Unamended control soil microbial communities from upstate New York, USA - Whitman soil sample_221_MG metagenome","SRS2838553","","17295.57","1","106879731","32277678762","BNUXH","WGS","METAGENOMIC","RANDOM"
"SRX3566511","Whitman soil sample_231_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129866","Unamended control soil microbial communities from upstate New York, USA - Whitman soil sample_231_MG metagenome","SRS2838540","","18797.64","1","117460470","35473061940","BNUXO","WGS","METAGENOMIC","RANDOM"
"SRX3566485","Whitman soil sample_202_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129865","Soil microbial communities amended with pyrogenic organic matter from upstate New York, USA - Whitman soil sample_202_MG metagenome","SRS2838539","","19988.46","1","120944559","36525256818","BNUXP","WGS","METAGENOMIC","RANDOM"
"SRX3566484","Whitman soil sample_226_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129863","Unamended control soil microbial communities from upstate New York, USA - Whitman soil sample_226_MG metagenome","SRS2838538","","13946.2","1","85856901","25928784102","BNUXN","WGS","METAGENOMIC","RANDOM"
"SRX3566334","Whitman soil sample_216_MG","soil metagenome","Illumina HiSeq 2500","JGI","SRP129854","Unamended control soil microbial communities from upstate New York, USA - Whitman soil sample_216_MG metagenome","SRS2838396","","17457.65","1","106359342","32120521284","BNUXG","WGS","METAGENOMIC","RANDOM"
