Accession,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_048634,,"Kraushaar,B., Hammerl,J.A., Kienol,M., Heinig,M.L., Sperling,N., Dinh Thanh,M., Reetz,J., Jackel,C., Fetsch,A., Hertwig,S.",2020-06-19T00:00:00Z,Staphylococcus phage P282,Biseptimavirus,Siphoviridae,dsDNA,41960,RefSeq,complete,,,1,Germany,,Staphylococcus aureus,,2015,,"Staphylococcus phage P282, complete genome"
NC_048635,,"Kraushaar,B., Hammerl,J.A., Kienol,M., Heinig,M.L., Sperling,N., Dinh Thanh,M., Reetz,J., Jackel,C., Fetsch,A., Hertwig,S.",2020-06-19T00:00:00Z,Staphylococcus phage P630,Biseptimavirus,Siphoviridae,dsDNA,40448,RefSeq,complete,,,1,Germany,,Staphylococcus aureus,,2015,,"Staphylococcus phage P630, complete genome"
NC_048636,,"Kraushaar,B., Hammerl,J.A., Kienol,M., Heinig,M.L., Sperling,N., Dinh Thanh,M., Reetz,J., Jackel,C., Fetsch,A., Hertwig,S.",2020-06-19T00:00:00Z,Staphylococcus phage P1105,Biseptimavirus,Siphoviridae,dsDNA,42282,RefSeq,complete,,,1,Germany,,Staphylococcus aureus,,2013,,"Staphylococcus phage P1105, complete genome"
NC_048644,,"Escobar-Perez,J., Reyes,N., Marquez-Ortiz,A., Rebollo,J., Pinzon,H., Tovar,C., Moreno,J.C., Corredor,Z.R., Castro,B.C., Moncada,M.G., Vanegas,N.G.",2020-06-19T00:00:00Z,Staphylococcus phage 3 AJ-2017,Biseptimavirus,Siphoviridae,dsDNA,43922,RefSeq,complete,,,,Colombia,,Staphylococcus aureus,,,,"Staphylococcus phage 3 AJ-2017, complete genome"
NC_048657,,"Sun,Q., Zhang,X., Xing,S., Tong,Y.-G.",2020-06-19T00:00:00Z,Staphylococcus phage IME1361_01,Biseptimavirus,Siphoviridae,dsDNA,43516,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage IME1361_01, complete genome"
NC_048658,,"Kim,D.",2020-06-19T00:00:00Z,Staphylococcus phage SA7,Biseptimavirus,Siphoviridae,dsDNA,34730,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage SA7, complete genome"
NC_048681,,"O'Brien,F.G., Baines,S.L., Howden,B.P., Coombs,G.W.",2020-06-19T00:00:00Z,Staphylococcus phage phiSa2wa_st22,Biseptimavirus,Siphoviridae,dsDNA,38576,RefSeq,complete,,,,Australia: Western Australia,,Staphylococcus aureus,,2007,,"Staphylococcus phage phiSa2wa_st22, complete genome"
NC_048710,,"Dmitrenko,O.A., Tikhomirov,T., Balbutskaya,A., Fedorova,N., Alkhovsky,S.V.",2020-06-19T00:00:00Z,Staphylococcus phage SA1014ruMSSAST7,Biseptimavirus,Siphoviridae,dsDNA,43504,RefSeq,complete,,,,Russia: Moscow,,Staphylococcus aureus,,2015,,"Staphylococcus phage SA1014ruMSSAST7, complete genome"
NC_048711,,"Dmitrenko,O.A., Tikhomirov,T., Balbutskaya,A., Fedorova,N., Alkhovsky,S.V.",2020-06-19T00:00:00Z,Staphylococcus phage SA780ruMSSAST101,Biseptimavirus,Siphoviridae,dsDNA,43184,RefSeq,complete,,,,Russia: Moscow,,Staphylococcus aureus,,2015,,"Staphylococcus phage SA780ruMSSAST101, complete genome"
NC_048713,,"Dmitrenko,O.A., Balbutskaya,A., Alkhovsky,S.V.",2020-06-19T00:00:00Z,Staphylococcus phage SA345ruMSSAST8,Biseptimavirus,Siphoviridae,dsDNA,42735,RefSeq,complete,,,,Russia: Moscow,,Staphylococcus aureus,,2015,,"Staphylococcus aureus phage SA345ruMSSAST8, complete genome"
NC_047720,,"Vandersteegen,K., Mattheus,W., Ceyssens,P.J., Bilocq,F., De Vos,D., Pirnay,J.P., Noben,J.P., Merabishvili,M., Lipinska,U., Hermans,K., Lavigne,R.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,138339,RefSeq,complete,,,1,Georgia,,Staphylococcus aureus,,,,Staphylococcus phage ISP complete genome
NC_047721,,"Kirby,A.E.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,137031,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage SA5, complete genome"
NC_047722,,"Lobocka,M., Hejnowicz,M.S., Dabrowski,K., Gozdek,A., Kosakowski,J., Witkowska,M., Ulatowska,M.I., Weber-Dabrowska,B., Kwiatek,M., Parasion,S., Gawor,J., Kosowska,H., Glowacka,A.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,145647,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage Staph1N, complete genome"
NC_047723,,"Lobocka,M., Hejnowicz,M.S., Dabrowski,K., Gozdek,A., Kosakowski,J., Witkowska,M., Ulatowska,M.I., Weber-Dabrowska,B., Kwiatek,M., Parasion,S., Gawor,J., Kosowska,H., Glowacka,A.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,141018,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage A3R, complete genome"
NC_047724,,"Lobocka,M., Hejnowicz,M.S., Dabrowski,K., Gozdek,A., Kosakowski,J., Witkowska,M., Ulatowska,M.I., Weber-Dabrowska,B., Kwiatek,M., Parasion,S., Gawor,J., Kosowska,H., Glowacka,A.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,148564,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 676Z, complete genome"
NC_047725,,"Lobocka,M., Hejnowicz,M.S., Dabrowski,K., Gozdek,A., Kosakowski,J., Witkowska,M., Ulatowska,M.I., Weber-Dabrowska,B., Kwiatek,M., Parasion,S., Gawor,J., Kosowska,H., Glowacka,A.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,148481,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage Fi200W, complete genome"
NC_047726,,"Lobocka,M., Hejnowicz,M.S., Dabrowski,K., Gozdek,A., Kosakowski,J., Witkowska,M., Ulatowska,M.I., Weber-Dabrowska,B., Kwiatek,M., Parasion,S., Gawor,J., Kosowska,H., Glowacka,A.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,148243,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage MSA6, complete genome"
NC_047727,,"Lobocka,M., Hejnowicz,M.S., Dabrowski,K., Gozdek,A., Kosakowski,J., Witkowska,M., Ulatowska,M.I., Weber-Dabrowska,B., Kwiatek,M., Parasion,S., Gawor,J., Kosowska,H., Glowacka,A.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,147590,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage P4W, complete genome"
NC_047728,,"Ulatowska,M.I., Weber-Dabrowska,B., Sadowy,E., Krzyszton-Russjan,J., Gorski,A., Lobocka,M.B.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,145542,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage A5W, complete genome"
NC_047729,,"Zhang,X., Kang,H., Tong,Y.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,140218,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage IME-SA1, complete genome"
NC_047730,,"Zhang,X., Kang,H., Tong,Y.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,140906,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage IME-SA2, complete genome"
NC_047731,,"Zhang,X.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,139750,RefSeq,complete,,,,China,,Staphylococcus aureus,,2014-09-19,,"Staphylococcus phage IME-SA118, complete genome"
NC_047732,,"Tong,Y., Zhang,X., Liu,X.",2020-05-15T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,141028,RefSeq,complete,,,,China,,Staphylococcus aureus,,,,"Staphylococcus phage IME-SA119, complete genome"
NC_047788,,"Aleshkin,A.V., Volozhantsev,N.V., Verevkin,V.V., Krasilnikova,V.M., Myakinina,V.P., Popova,A.V., Svetoch,E.A.",2020-05-15T00:00:00Z,Staphylococcus virus SCH1,Rosenblumvirus,Podoviridae,dsDNA,18023,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage SCH1, complete genome"
NC_047855,,"Kraushaar,B., Dinh Thanh,M., Reetz,J., Fetsch,A., Hammerl,J.A., Hertwig,S., Hammerl,J.",2020-05-15T00:00:00Z,Staphylococcus virus PSa3,Rosenblumvirus,Podoviridae,dsDNA,17602,RefSeq,complete,,,,,,Staphylococcus aureus,,,,Staphylococcus phage PSa3 complete sequence
NC_047919,,"Gozdek,A., Glowacka-Rutkowska,A., Gawor,J., Empel,J., Gromadka,R., Lobocka,M.B.",2020-05-15T00:00:00Z,Staphylococcus virus phiAGO13,Rosenblumvirus,Podoviridae,dsDNA,17603,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage vB_SauP_phiAGO1.3, complete genome"
NC_047948,,"Jin,X., Zhang,C., Wang,X., Zhong,J.",2020-05-15T00:00:00Z,Staphylococcus virus BS2,Baoshanvirus,Herelleviridae,dsDNA,149229,RefSeq,complete,,,,China: Baoshan District of Shanghai,,Staphylococcus aureus,,,,"Staphylococcus phage phiSA_BS2, complete genome"
NC_048107,,"Bari,S.M.N., Hernandez,A.C., Hatoum-Aslan,A.",2020-05-15T00:00:00Z,Staphylococcus virus Pabna,Rosenblumvirus,Podoviridae,dsDNA,17700,RefSeq,complete,,,,USA,,Staphylococcus aureus subsp. aureus RN4220,,2015-08-25,,"Staphylococcus phage Pabna, complete genome"
NC_048159,,"Cha,Y., Chun,J., Son,B., Ryu,S.",2020-05-15T00:00:00Z,Staphylococcus virus CSA13,Rosenblumvirus,Podoviridae,dsDNA,17034,RefSeq,complete,,,1,South Korea,,Staphylococcus aureus,,2017-07-30,,"Staphylococcus phage CSA13, complete genome"
NC_031008,,"Wang,Z., Zheng,P.",2016-09-23T00:00:00Z,Staphylococcus virus SLPW,Rosenblumvirus,Podoviridae,dsDNA,17861,RefSeq,complete,,,,China,,Staphylococcus aureus,,2013-10,,"Staphylococcus phage SLPW, complete genome"
NC_031046,,"Mandeville,R.",2016-09-23T00:00:00Z,Staphylococcus virus BP39,Rosenblumvirus,Podoviridae,dsDNA,17641,RefSeq,complete,,,,Canada,,Staphylococcus aureus,,2002,,"Staphylococcus phage BP39, complete genome"
NC_030933,,"Hsieh,S.E., Tseng,Y.H., Lo,H.H., Chen,S.T., Wu,C.N., Hsieh,S.-E., Wu,C.-N., Lo,H.-H., Chen,S.-T., Tseng,Y.-H.",2016-09-19T00:00:00Z,Staphylococcus virus Stau2,Silviavirus,Herelleviridae,dsDNA,133798,RefSeq,complete,,,1,Taiwan: Taichung,,Staphylococcus aureus,,,,"Staphylococcus phage Stau2, complete genome"
NC_028775,,"Santiago-Rodriguez,T.M., Naidu,M., Jones,M.B., Ly,M., Pride,D.T.",2016-01-05T00:00:00Z,Staphylococcus phage 23MRA,Biseptimavirus,Siphoviridae,dsDNA,43098,RefSeq,complete,,,1,USA,,Staphylococcus aureus,blood,,,"Staphylococcus phage 23MRA, complete genome"
NC_028859,,"Botka,T., Ruzickova,V., Konecna,H., Pantucek,R., Rychlik,I., Zdrahal,Z., Petras,P., Doskar,J.",2016-01-05T00:00:00Z,Staphylococcus phage B166,Phietavirus,Siphoviridae,dsDNA,42881,RefSeq,complete,,,1,Czech Republic,,Staphylococcus aureus,,2012-05-01,,"Staphylococcus phage B166, complete genome"
NC_028862,,"El Haddad,L., Roy,J.-P., Khalil,G.E., St-Gelais,D., Champagne,C.P., Labrie,S., Moineau,S.",2016-01-05T00:00:00Z,Staphylococcus phage vB_SauS_phi2,Triavirus,Siphoviridae,dsDNA,44222,RefSeq,complete,,,,Canada,,Staphylococcus aureus,,2011-07,,"Staphylococcus phage vB_SauS_phi2, complete genome"
NC_028915,,"Botka,T., Ruzickova,V., Konecna,H., Pantucek,R., Rychlik,I., Zdrahal,Z., Petras,P., Doskar,J.",2016-01-05T00:00:00Z,Staphylococcus phage B236,Phietavirus,Siphoviridae,dsDNA,43228,RefSeq,complete,,,1,Czech Republic,,Staphylococcus aureus,,2013-01-01,,"Staphylococcus phage B236, complete genome"
NC_028917,,"Santiago-Rodriguez,T.M., Naidu,M., Jones,M.B., Ly,M., Pride,D.T.",2016-01-05T00:00:00Z,Staphylococcus phage 3MRA,Phietavirus,Siphoviridae,dsDNA,41931,RefSeq,complete,,,1,USA,,Staphylococcus aureus,blood,,,"Staphylococcus phage 3MRA, complete genome"
NC_029010,,"Chang,Y., Shin,H., Lee,J.H., Park,C.J., Paik,S.Y., Ryu,S.",2016-01-05T00:00:00Z,Staphylococcus phage SA97,Phietavirus,Siphoviridae,dsDNA,40592,RefSeq,complete,,,1,,,Staphylococcus aureus subsp. aureus RN4220,,,,"Staphylococcus phage SA97, complete genome"
NC_028669,,"Varga,M., Pantucek,R., Ruzickova,V., Doskar,J.",2015-12-17T00:00:00Z,Staphylococcus phage phiJB,Phietavirus,Siphoviridae,dsDNA,43012,RefSeq,complete,,,1,Czech Republic,,Staphylococcus aureus,,2011-08-01,,"Staphylococcus phage phiJB, complete genome"
NC_027991,,"Lee,Y., Park,J., Chang,H., Ryu,T.",2015-10-07T00:00:00Z,Staphylococcus phage SA1,,Myoviridae,dsDNA,147303,RefSeq,complete,,,,South Korea,,Staphylococcus aureus,feces,,,"Staphylococcus phage SA1, complete genome"
NC_026016,,"Utter,B., Deutsch,D.R., Schuch,R., Winer,B.Y., Verratti,K., Bishop-Lilly,K., Sozhamannan,S., Fischetti,V.A., Utter,B.D.",2015-01-07T00:00:00Z,Staphylococcus phage phiBU01,Biseptimavirus,Siphoviridae,dsDNA,43748,RefSeq,complete,,,1,,,Staphylococcus aureus HIP07256,,,,"Staphylococcus phage phiBU01, complete genome"
NC_025416,,"Alves,D.R., Gaudion,A., Bean,J.E., Perez Esteban,P., Arnot,T.C., Harper,D.R., Kot,W., Hansen,L.H., Enright,M.C., Jenkins,A.T., Perez-Esteban,P., Arnot,T., Hanson,L.H.",2014-11-25T00:00:00Z,Staphylococcus virus MCE2014,Kayvirus,Herelleviridae,dsDNA,141907,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage MCE-2014, complete genome"
NC_025460,,"Sanchini,A., Del Grosso,M., Villa,L., Ammendolia,M.G., Superti,F., Monaco,M., Pantosti,A.",2014-11-25T00:00:00Z,Staphylococcus phage phiSa119,Biseptimavirus,Siphoviridae,dsDNA,42600,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phiSa119, complete genome"
NC_025426,,"Yuan,W., Rao,X.",2014-11-10T00:00:00Z,Staphylococcus virus P108,Kayvirus,Herelleviridae,dsDNA,140807,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage P108, complete genome"
NC_024391,,"Keary,R., McAuliffe,O., Ross,R.P., Hill,C., O'Mahony,J., Coffey,A.",2014-06-24T00:00:00Z,Staphylococcus phage DW2,Phietavirus,Siphoviridae,dsDNA,41941,RefSeq,complete,,,1,Ireland,,Staphylococcus aureus,,,,"Staphylococcus phage DW2, complete genome"
NC_023550,,"Swift,S.M., Nelson,D.C.",2014-03-04T00:00:00Z,Staphylococcus virus GRCS,Rosenblumvirus,Podoviridae,dsDNA,17869,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage GRCS, complete genome"
NC_023573,,"Takeuchi,I., Osada,K., Asakawa,H., Miyanaga,K., Tanji,Y.",2014-03-02T00:00:00Z,Staphylococcus virus SA12,Kayvirus,Herelleviridae,dsDNA,142094,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage phiSA012 DNA, complete genome"
NC_023499,,"van der Mee-Marquet,N., Corvaglia,A.R., Valentin,A.S., Hernandez,D., Bertrand,X., Girard,M., Kluytmans,J., Donnio,P.Y., Quentin,R., Francois,P., Valentin,A.-S., Corvaglia,A.-R., Donnio,P.-Y.",2014-02-27T00:00:00Z,Staphylococcus phage StauST398-4,Biseptimavirus,Siphoviridae,dsDNA,42906,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage StauST398-4, complete genome"
NC_023500,,"van der Mee-Marquet,N., Corvaglia,A.R., Valentin,A.S., Hernandez,D., Bertrand,X., Girard,M., Kluytmans,J., Donnio,P.Y., Quentin,R., Francois,P., Valentin,A.-S., Corvaglia,A.-R., Donnio,P.-Y.",2014-02-27T00:00:00Z,Staphylococcus phage StauST398-5,Phietavirus,Siphoviridae,dsDNA,43301,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage StauST398-5, complete genome"
